,Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,200,0.1,2.25,50000.0,6517170000000.0,0.2,7.0,0.0139999999999999,200.0,0.0118640351005118,0.1103557322333896,0.0065638655477117,0.0799027169149292,0.0700836559672219,0.0263628602735448,-0.0002151880889786,912403800.0,16.85767096149031,0.2360073934608643,15381003044.413414,7.583412075117722e-09,4.499187841789411e-09
1,1,200,0.2,2.25,50000.0,6517170000000.0,0.2,7.0,0.0139999999999999,200.0,0.0219552377919588,0.1019096977147473,0.0120376146463119,0.078638450667716,0.06564178782935,0.022758315828017,-0.0007016036983648,912403800.0,9.109443582216652,0.1275322101510331,8311490940.300086,7.583412075117722e-09,4.499187841789411e-09
2,2,700,0.1,2.25,50000.0,7651500000000.0,0.7,32.0,0.064,700.0,0.1195387829940218,0.1327542641974766,0.0164134419671866,0.0779428527772555,0.0629978454216736,0.0156669284470646,-0.0010052642472584,4896960000.0,5.855840108686792,0.3747737669559547,28675814778.634872,1.491644911752418e-07,8.490007645750368e-08
3,3,700,0.2,2.25,50000.0,7651500000000.0,0.7,39.0,0.078,700.0,0.1199394237086846,0.1260729446658652,0.0153935929971773,0.0854282117056411,0.0615455991079559,0.0266522933212027,0.0003372555384663,5968170000.0,5.836279501393953,0.4552298011087283,34831908231.83435,1.817942236198259e-07,1.034719681825826e-07
4,4,1200,0.1,2.25,50000.0,7320200000000.0,1.2,54.0,0.108,1200.0,0.2447172616026066,0.11654020092114,0.0141528649111413,0.0760961800642858,0.0466739087223214,0.0213096303543729,-0.0011258322500676,7905816000.0,4.903618127063979,0.5295907577229098,38767102646.83244,4.147884536372776e-07,2.6414971282322005e-07
5,5,1200,0.2,2.25,50000.0,7320200000000.0,1.2,57.0,0.1139999999999999,1200.0,0.2601914335128173,0.1203175387336404,0.0133679038761261,0.0780012520383619,0.0442480179154236,0.0137205814935191,0.0015471687457394,8345027999.999999,4.611988887562229,0.525766733182094,38487176402.395645,4.378322566171263e-07,2.788246968689545e-07
6,6,1700,0.1,2.25,50000.0,6646820000000.0,1.7,33.0,0.066,1700.0,0.3651330875096603,0.0873952779205247,0.0148311817720216,0.0818930054800178,0.0434778843968224,0.031420587097169,-0.0023770308834545,4386901200.0,4.655836619996875,0.3072852169197937,20424695255.268234,3.198168469800757e-07,2.0739398179884174e-07
7,7,1700,0.2,2.25,50000.0,6646820000000.0,1.7,46.0,0.092,1700.0,0.395955488403039,0.1016751035010727,0.0149422305195272,0.0735319557490311,0.0429723183559788,0.0095713779704915,0.0003205360384893,6115074400.0,4.293411885402602,0.3949938934570393,26254533109.081184,4.458053018510146e-07,2.890946412953552e-07
8,8,2200,0.1,2.25,50000.0,5889440000000.0,,,,2200.0,,,,,,,,,,,,,
9,9,2200,0.2,2.25,50000.0,5889440000000.0,,,,2200.0,,,,,,,,,,,,,
10,10,2700,0.1,2.25,50000.0,5143960000000.0,,,,2700.0,,,,,,,,,,,,,
11,11,2700,0.2,2.25,50000.0,5143960000000.0,,,,2700.0,,,,,,,,,,,,,
12,12,3200,0.1,2.25,50000.0,4450230000000.0,,,,3200.0,,,,,,,,,,,,,
13,13,3200,0.2,2.25,50000.0,4450230000000.0,,,,3200.0,,,,,,,,,,,,,
14,14,3700,0.1,2.25,50000.0,3823870000000.0,,,,3700.0,,,,,,,,,,,,,
15,15,3700,0.2,2.25,50000.0,3823870000000.0,,,,3700.0,,,,,,,,,,,,,
16,16,4200,0.1,2.25,50000.0,3268740000000.0,,,,4200.0,,,,,,,,,,,,,
17,17,4200,0.2,2.25,50000.0,3268740000000.0,,,,4200.0,,,,,,,,,,,,,
18,18,4700,0.1,2.25,50000.0,2782880000000.0,,,,4700.0,,,,,,,,,,,,,
19,19,4700,0.2,2.25,50000.0,2782880000000.0,,,,4700.0,,,,,,,,,,,,,
20,20,5200,0.1,2.25,50000.0,2361460000000.0,,,,5200.0,,,,,,,,,,,,,
21,21,5200,0.2,2.25,50000.0,2361460000000.0,,,,5200.0,,,,,,,,,,,,,
22,22,5700,0.1,2.25,50000.0,1998400000000.0,,,,5700.0,,,,,,,,,,,,,
23,23,5700,0.2,2.25,50000.0,1998400000000.0,,,,5700.0,,,,,,,,,,,,,
24,24,6200,0.1,2.25,50000.0,1687270000000.0,,,,6200.0,,,,,,,,,,,,,
25,25,6200,0.2,2.25,50000.0,1687270000000.0,,,,6200.0,,,,,,,,,,,,,
26,26,6700,0.1,2.25,50000.0,1421780000000.0,,,,6700.0,,,,,,,,,,,,,
27,27,6700,0.2,2.25,50000.0,1421780000000.0,,,,6700.0,,,,,,,,,,,,,
28,28,7200,0.1,2.25,50000.0,1196010000000.0,,,,7200.0,,,,,,,,,,,,,
29,29,7200,0.2,2.25,50000.0,1196010000000.0,,,,7200.0,,,,,,,,,,,,,
