,Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,200,0.1,2.25,50000.0,6517170000000.0,0.2,50000.0,100.0,200.0,0.1990873496198446,0.1328297767755834,0.085758297937256,0.1140637219974767,0.0829937799530872,-0.0007826955692518,-5.373085498799242e-06,6517170000000.0,1.0045841706260998,100.45841706260998,6547045819279.3,5.416722910798373e-05,3.213705601278151e-05
1,1,200,0.2,2.25,50000.0,6517170000000.0,0.2,50000.0,100.0,200.0,0.1990910697405468,0.1364081825001501,0.0919565581607058,0.1140768125462731,0.0829616570482932,-0.0006571022191797,-0.0002534904444933,6517170000000.0,1.00456539944578,100.45653994457798,6546923484306.054,5.416722910798373e-05,3.213705601278151e-05
2,2,700,0.1,2.25,50000.0,7651500000000.0,0.7,50000.0,100.0,700.0,0.6968469467861951,0.1364764343032694,0.0879608976660925,0.1140737183513499,0.0503610835407033,-0.0005367067635512,0.0002087229456333,7651500000000.0,1.0045247428123874,100.45247428123874,7686121069628.982,0.0002330695174613,0.0001326563694648
3,3,700,0.2,2.25,50000.0,7651500000000.0,0.7,50000.0,100.0,700.0,0.6967562181775975,0.1373727611280287,0.0896116945857755,0.1140764833399984,0.0488921956787091,-0.0002602625794971,-8.461983928592858e-05,7651500000000.0,1.0046555477192392,100.46555477192392,7687121923373.759,0.0002330695174613,0.0001326563694648
4,4,1200,0.1,2.25,50000.0,7320200000000.0,1.2,50000.0,100.0,1200.0,1.194561668035476,0.1342186007414012,0.0934112195303353,0.1140699648982664,0.0396812585978998,-0.0009072845232858,0.0001308230761541,7320200000000.0,1.0045525753169926,100.45525753169927,7353525761835.45,0.0003840633829974,0.0002445830674289
5,5,1200,0.2,2.25,50000.0,7320200000000.0,1.2,50000.0,100.0,1200.0,1.1946025107190508,0.1362392076520537,0.084066047892703,0.1140718884292136,0.038497090129502,-0.0007863286658157,0.0001089603553318,7320200000000.0,1.0045182303172129,100.45182303172126,7353274349568.061,0.0003840633829974,0.0002445830674289
6,6,1700,0.1,2.25,50000.0,6646820000000.0,1.7,50000.0,100.0,1700.0,1.6919622910882026,0.1328228826348743,0.0896591589762413,0.1140742098501938,0.0336131868892021,-0.0010935899084161,0.0001319306763659,6646820000000.0,1.0047505248516075,100.47505248516076,6678395883594.162,0.0004845709802728,0.0003142333057558
7,7,1700,0.2,2.25,50000.0,6646820000000.0,1.7,50000.0,100.0,1700.0,1.6922799134072193,0.1391167775551146,0.0973327106707691,0.1140749204225251,0.032438466791016,-0.0009451244114483,8.957071847002977e-05,6646820000000.0,1.0045619442337037,100.45619442337036,6677142422171.467,0.0004845709802728,0.0003142333057558
8,8,2200,0.1,2.25,50000.0,5889440000000.0,2.2,50000.0,100.0,2200.0,2.1900854422297016,0.1322946798239377,0.0849481326555694,0.1140742287905295,0.0285690934104869,-0.0006751637902264,-0.0002762655292251,5889440000000.0,1.0045270187085509,100.45270187085508,5916101605062.888,0.0005547444717094,0.0003330603750537
9,9,2200,0.2,2.25,50000.0,5889440000000.0,2.2,50000.0,100.0,2200.0,2.1900135273408523,0.1386555663384391,0.096924641670537,0.1140718091132772,0.0294920947482748,-0.0007105550653878,-0.0001197473869331,5889440000000.0,1.0045600050111445,100.45600050111442,5916295875912.833,0.0005547444717094,0.0003330603750537
