,Simulation Number,SU.photonEnergy,ExitSlit.totalHeight,PG.cFactor,SU.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,200.0,0.1,2.25,100000.0,,6.0,104.75,0.10475,200.0,0.0285551089601454,0.0122330445359244,0.0897605843858682,0.3071192797356478,0.0110459754578221,-0.001300725771188,0.0129129416731701,,,,,,217.46052167911603,22.951149293451586,,,,,,,,,,,,,,,
1,1,250.0,0.1,2.25,100000.0,,7.5,61.75,0.06175,250.0,0.0392849361006192,0.0144583157277289,0.112132876094164,0.3042863028686591,0.018728504088777,-0.0015413873476709,0.0121003139721218,,,,,,191.18667311400975,11.788629136438733,,,,,,,,,,,,,,,
2,2,300.0,0.1,2.25,100000.0,,9.0,70.0,0.07,300.0,0.0499056614050647,0.0138085622160762,0.0884308785106054,0.2743409373099243,0.0170717819356281,-0.0009672489136063,0.0099007029380761,,,,,,180.49205697461625,12.620927616414832,,,,,,,,,,,,,,,
3,3,350.0,0.1,2.25,100000.0,,10.5,71.0,0.0709999999999999,350.0,0.0641156598137665,0.0138166076087122,0.0865497389689504,0.2721108960238074,0.0153601271589751,-0.0006034066414605,0.0087729307876064,,,,,,164.09793508055668,11.661253282649664,,,,,,,,,,,,,,,
4,4,400.0,0.1,2.25,100000.0,,12.0,76.5,0.0765,400.0,0.0739098100385242,0.0142185299787637,0.0820698190838507,0.2612668283758987,0.0139386108902423,-0.0011862605150172,0.0069408079053219,,,,,,162.47868679789434,12.435238388112577,,,,,,,,,,,,,,,
5,5,450.0,0.1,2.25,100000.0,,13.5,87.25,0.08725,450.0,0.0931813704519882,0.0131897624257498,0.0744995859473889,0.2363641654188653,0.0147025123972334,-0.0011356112943615,0.0105644937758557,1201022116839.101,,,,,145.05131524251246,12.61519887339346,173651952495922.7,,,,,2.3387462947820614e-05,,,,,1.284866050996904e-05,,,,
6,6,500.0,0.1,2.25,100000.0,,15.0,83.5,0.0834999999999999,500.0,0.1134937882012501,0.0138432564377985,0.0789103131684186,0.276015462948149,0.0155826043871313,-0.0007979718119228,0.011584009350393,1120675744087.3633,,,,,132.2259339498726,11.037746872165634,148140541185774.72,,,,,2.4317670695931523e-05,,,,,1.3598057427917493e-05,,,,
7,7,550.0,0.1,2.25,100000.0,,16.5,84.25,0.0842499999999999,550.0,0.1311570666400564,0.0131753873245061,0.0698330579698364,0.2618278748459982,0.0150723494850465,-0.0009691147178893,0.0113120716132359,1098439953330.5576,,,,,125.84369106801452,10.620586591502509,138469752402530.12,,,,,2.614706327776063e-05,,,,,1.4910558274903524e-05,,,,
8,8,600.0,0.1,2.25,100000.0,,18.0,83.5,0.0835,600.0,0.1500815821969692,0.0137816550491214,0.069728367459621,0.2877445251450681,0.0163711828100135,-0.0012903359043874,0.0130108759271346,1053260160799.5977,,,,,120.00881505648772,10.013851127289612,126313658066494.48,,,,,2.741868717648265e-05,,,,,1.5648713880525623e-05,,,,
9,9,650.0,0.1,2.25,100000.0,,19.5,87.25,0.08725,650.0,0.1538528101583095,0.0132209671440639,0.0711701638560521,0.2929088413313561,0.0156651231032916,-0.0008566970700938,0.0099820399200289,1060003601750.3456,,,,,132.74531632794717,11.858338616714768,144067411398199.0,,,,,2.994342905211672e-05,,,,,1.7001923163603584e-05,,,,
