,Simulation Number,SU.photonEnergy,ExitSlit.totalHeight,PG.cFactor,SU.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,200.0,0.1,2.25,100000.0,,6.0,100000.0,100.0,200.0,5.980906489892668,0.182623702727542,0.0824793706808776,0.0104660924335873,0.0038319045401182,-0.000278674725383,-4.766536943243862e-05,,,,,,1.003192410948989,100.31924109489889,,,,,,,,,,,,,,,
1,1,250.0,0.1,2.25,100000.0,,7.5,100000.0,100.0,250.0,7.476143158679918,0.1785288841456642,0.0748247765416644,0.0100946772902027,0.0034078037029173,5.278323371762698e-07,1.1609276537993392e-05,,,,,,1.003191062973681,100.31910629736808,,,,,,,,,,,,,,,
2,2,300.0,0.1,2.25,100000.0,,9.0,100000.0,100.0,300.0,8.971322918284969,0.1741248915542582,0.0701387123330385,0.0100152738178664,0.0031876102456592,3.0520122530642295e-05,-2.227215899292584e-05,,,,,,1.0031965279226256,100.31965279226254,,,,,,,,,,,,,,,
3,3,350.0,0.1,2.25,100000.0,,10.5,100000.0,100.0,350.0,10.466448944088,0.1725039359078766,0.0641743872646285,0.0102224312129763,0.0029141780112041,-0.0001277219709249,1.7856349702442825e-05,,,,,,1.0032055820955306,100.32055820955308,,,,,,,,,,,,,,,
4,4,400.0,0.1,2.25,100000.0,,12.0,100000.0,100.0,400.0,11.96177948750234,0.1751188108250749,0.0613850639401327,0.0100103143050182,0.0028144302354315,-0.0001159322343313,6.560800315441693e-06,,,,,,1.003195219673851,100.31952196738511,,,,,,,,,,,,,,,
5,5,450.0,0.1,2.25,100000.0,,13.5,100000.0,100.0,450.0,13.457022025169408,0.1744185405282259,0.0583677534842898,0.0100736910903452,0.0025998825942274,-2.50400694905e-05,-2.330060502089151e-06,1376529646806992.5,,,,,1.0031937214286673,100.31937214286673,1380925899037195.8,,,,,0.0268051151264419,,,,,0.0147262584641478,,,,
6,6,500.0,0.1,2.25,100000.0,,15.0,100000.0,100.0,500.0,14.952282555976268,0.1702342974959844,0.056140596327386,0.0096994019805929,0.0024961490338879,-0.0001039786677631,1.3920187865040683e-05,1342126639625585.0,,,,,1.003191315159865,100.31913151598653,1346409788717081.0,,,,,0.0291229589172832,,,,,0.0162850987160688,,,,
7,7,550.0,0.1,2.25,100000.0,,16.5,100000.0,100.0,550.0,16.447025846891904,0.1696436380723024,0.0526598880866208,0.0099558986569396,0.0024285603281608,-0.0002081258590626,1.335194761960861e-06,1303786294754371.2,,,,,1.003220895922158,100.3220895922158,1307985654714511.0,,,,,0.0310350899439295,,,,,0.0176979920176896,,,,
8,8,600.0,0.1,2.25,100000.0,,18.0,100000.0,100.0,600.0,17.94273636458101,0.1689593885182564,0.0529465371056084,0.0099680648426132,0.002380166752639,0.0001905944264007,1.1944220471419356e-05,1261389414131254.8,,,,,1.0031914661441854,100.31914661441854,1265415095741088.5,,,,,0.03283675110956,,,,,0.0187409747072163,,,,
9,9,650.0,0.1,2.25,100000.0,,19.5,100000.0,100.0,650.0,19.4381478949027,0.1682369729653411,0.0496954902296005,0.0098118719706718,0.0022359856252551,-3.649202789321724e-05,2.9180116431601416e-06,1214903841547673.8,,,,,1.003181995837836,100.31819958378364,1218769660514849.5,,,,,0.0343191163921108,,,,,0.0194864448866516,,,,
