Simulation Number,SU.photonEnergy,ExitSlit.totalHeight,PG.cFactor,SU.numberRays
0,200.0,0.1,2.25,100000.0
1,250.0,0.1,2.25,100000.0
2,300.0,0.1,2.25,100000.0
3,350.0,0.1,2.25,100000.0
4,400.0,0.1,2.25,100000.0
5,450.0,0.1,2.25,100000.0
6,500.0,0.1,2.25,100000.0
7,550.0,0.1,2.25,100000.0
8,600.0,0.1,2.25,100000.0
9,650.0,0.1,2.25,100000.0
10,700.0,0.1,2.25,100000.0
11,750.0,0.1,2.25,100000.0
12,800.0,0.1,2.25,100000.0
13,850.0,0.1,2.25,100000.0
14,900.0,0.1,2.25,100000.0
15,950.0,0.1,2.25,100000.0
16,1000.0,0.1,2.25,100000.0
17,1050.0,0.1,2.25,100000.0
18,1100.0,0.1,2.25,100000.0
19,1150.0,0.1,2.25,100000.0
20,1200.0,0.1,2.25,100000.0
21,1250.0,0.1,2.25,100000.0
22,1300.0,0.1,2.25,100000.0
23,1350.0,0.1,2.25,100000.0
24,1400.0,0.1,2.25,100000.0
25,1450.0,0.1,2.25,100000.0
26,1500.0,0.1,2.25,100000.0
27,1550.0,0.1,2.25,100000.0
28,1600.0,0.1,2.25,100000.0
29,1650.0,0.1,2.25,100000.0
30,1700.0,0.1,2.25,100000.0
31,1750.0,0.1,2.25,100000.0
32,1800.0,0.1,2.25,100000.0
