,Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,200,0.1,2.25,5000.0,6517170000000.0,,,,200.0,,,,,,,,,,,,,
1,1,200,0.1,3.0,5000.0,6517170000000.0,,,,200.0,,,,,,,,,,,,,
2,2,450,0.1,2.25,5000.0,7453040000000.0,0.45,4.0,0.0559999999999999,450.0,0.1011137851483986,0.0845113249573127,0.015374765386662,0.0705327974073023,0.0777553467144904,0.0116271252232001,-0.0019899882691479,4173702400.0,4.450431752105434,0.2492241781179043,18574777684.798656,8.12743652815737e-08,4.46507058074662e-08
3,3,450,0.1,3.0,5000.0,7453040000000.0,,,,450.0,,,,,,,,,,,,,
4,4,700,0.1,2.25,5000.0,7651500000000.0,0.7,2.0,0.0279999999999999,700.0,0.0090857686148256,0.1112573083430317,0.0031061624963363,0.0011536911310267,0.0066020904885051,0.0077404507906741,-0.0092082104356266,2142420000.0,77.04356446605718,2.1572198050496008,165059673383.3702,6.525946488916826e-08,3.7143783450157855e-08
5,5,700,0.1,3.0,5000.0,7651500000000.0,,,,700.0,,,,,,,,,,,,,
6,6,950,0.1,2.25,5000.0,7558600000000.0,0.95,7.0,0.0979999999999999,950.0,0.1820588644482696,0.0885216706420737,0.0138808386794494,0.0624718070764181,0.065314241968038,0.0188392108259626,0.0020370387821921,7407427999.999999,5.218092526716455,0.5113730676182124,38652644688.99021,3.072673742395676e-07,1.6529530295693466e-07
7,7,950,0.1,3.0,5000.0,7558600000000.0,0.95,3.0,0.0419999999999999,950.0,0.0825284920835158,0.0548483047175499,0.0088949701501003,0.0496686125473273,0.0652598480196739,0.0339391685988947,-0.0024201340245448,3174611999.9999995,11.511176031650187,0.4834693933293079,36543517564.18907,1.3168601753124325e-07,7.084084412440056e-08
8,8,1200,0.1,2.25,5000.0,7320200000000.0,1.2,10.0,0.1399999999999999,1200.0,0.2605453501834211,0.1218239051300826,0.0163803987436394,0.072285140088035,0.0500697995063715,0.0487734186595611,-0.0007889521560101,10248279999.999998,4.6057241058234695,0.6448013748152855,47200750239.22853,5.376887361964708e-07,3.424162944004704e-07
9,9,1200,0.1,3.0,5000.0,7320200000000.0,1.2,4.0,0.0559999999999999,1200.0,0.1229799915239777,0.0595067838636267,0.0138870937105181,0.0501936623547842,0.0535746970102715,-0.0214158304817791,-0.0002136171356619,4099312000.0,9.757684848807564,0.5464303515332235,39999794592.93503,2.1507549447858842e-07,1.3696651776018817e-07
10,10,1450,0.1,2.25,5000.0,7003980000000.0,1.45,5.0,0.0699999999999999,1450.0,0.1644236863943147,0.126753389977149,0.0101292188346731,0.0800942027867408,0.0302276332828073,0.000395537348676,-0.0011526216716949,4902785999.999999,8.81868076186216,0.6173076533303511,43236104577.72712,3.103079483726781e-07,2.0220175691838162e-07
11,11,1450,0.1,3.0,5000.0,7003980000000.0,1.45,3.0,0.0419999999999999,1450.0,0.1056543947033739,0.0958901984165392,0.0208957380440718,0.0733645611072321,0.0035799835069611,0.0357181817765159,-0.0012156181938921,2941671599.9999995,13.723991359478172,0.5764076370980832,40371475620.82232,1.8618476902360681e-07,1.2132105415102898e-07
12,12,1700,0.1,2.25,5000.0,6646820000000.0,1.7,3.0,0.0419999999999999,1700.0,0.5176525080906176,0.0824793104223009,0.0072595660431241,0.0786298891078582,0.0299650559368429,0.0253181274310632,0.0082449982963435,2791664399.9999995,3.284056337852045,0.1379303661897858,9167983165.975924,2.035198117145936e-07,1.3197798841744473e-07
13,13,1700,0.1,3.0,5000.0,6646820000000.0,1.7,2.0,0.0279999999999999,1700.0,0.1004304504384262,0.0809643249550692,0.0104439563706169,0.0239017044270561,0.0497060536088981,0.064056615565362,-0.0055025727936561,1861109600.0,16.927137064293742,0.4739598378002246,31503257290.87289,1.3567987447639576e-07,8.798532561162984e-08
14,14,1950,0.1,2.25,5000.0,6270710000000.0,1.95,5.0,0.0699999999999999,1950.0,0.2767623907459011,0.0871045217250439,0.0128545302564416,0.0405416588666496,0.0409576598152328,0.0554791034744093,0.0054446731881594,4389497000.0,7.045755005745409,0.4932028504021786,30927320460.454456,3.6424074653257683e-07,2.2801871110510849e-07
15,15,1950,0.1,3.0,5000.0,,,,,1950.0,,,,,,,,,,,,,
16,16,2200,0.1,2.25,5000.0,5889440000000.0,,,,2200.0,,,,,,,,,,,,,
17,17,2200,0.1,3.0,5000.0,5889440000000.0,,,,2200.0,,,,,,,,,,,,,
18,18,2450,0.1,2.25,5000.0,5511930000000.0,,,,2450.0,,,,,,,,,,,,,
19,19,2450,0.1,3.0,5000.0,5511930000000.0,,,,2450.0,,,,,,,,,,,,,
20,20,2700,0.1,2.25,5000.0,5143960000000.0,,,,2700.0,,,,,,,,,,,,,
21,21,2700,0.1,3.0,5000.0,5143960000000.0,,,,2700.0,,,,,,,,,,,,,
22,22,2950,0.1,2.25,5000.0,4789280000000.0,,,,2950.0,,,,,,,,,,,,,
23,23,2950,0.1,3.0,5000.0,4789280000000.0,,,,2950.0,,,,,,,,,,,,,
24,24,3200,0.1,2.25,5000.0,4450230000000.0,,,,3200.0,,,,,,,,,,,,,
25,25,3200,0.1,3.0,5000.0,4450230000000.0,,,,3200.0,,,,,,,,,,,,,
26,26,3450,0.1,2.25,5000.0,4128200000000.0,,,,3450.0,,,,,,,,,,,,,
27,27,3450,0.1,3.0,5000.0,,,,,3450.0,,,,,,,,,,,,,
28,28,3700,0.1,2.25,5000.0,3823870000000.0,,,,3700.0,,,,,,,,,,,,,
29,29,3700,0.1,3.0,5000.0,3823870000000.0,,,,3700.0,,,,,,,,,,,,,
30,30,3950,0.1,2.25,5000.0,3537430000000.0,,,,3950.0,,,,,,,,,,,,,
31,31,3950,0.1,3.0,5000.0,3537430000000.0,,,,3950.0,,,,,,,,,,,,,
32,32,4200,0.1,2.25,5000.0,3268740000000.0,,,,4200.0,,,,,,,,,,,,,
33,33,4200,0.1,3.0,5000.0,3268740000000.0,,,,4200.0,,,,,,,,,,,,,
34,34,4450,0.1,2.25,5000.0,3017410000000.0,,,,4450.0,,,,,,,,,,,,,
35,35,4450,0.1,3.0,5000.0,3017410000000.0,,,,4450.0,,,,,,,,,,,,,
36,36,4700,0.1,2.25,5000.0,2782880000000.0,,,,4700.0,,,,,,,,,,,,,
37,37,4700,0.1,3.0,5000.0,2782880000000.0,,,,4700.0,,,,,,,,,,,,,
38,38,4950,0.1,2.25,5000.0,2564480000000.0,,,,4950.0,,,,,,,,,,,,,
39,39,4950,0.1,3.0,5000.0,2564480000000.0,,,,4950.0,,,,,,,,,,,,,
40,40,5200,0.1,2.25,5000.0,2361460000000.0,,,,5200.0,,,,,,,,,,,,,
41,41,5200,0.1,3.0,5000.0,2361460000000.0,,,,5200.0,,,,,,,,,,,,,
42,42,5450,0.1,2.25,5000.0,2173030000000.0,,,,5450.0,,,,,,,,,,,,,
43,43,5450,0.1,3.0,5000.0,2173030000000.0,,,,5450.0,,,,,,,,,,,,,
44,44,5700,0.1,2.25,5000.0,1998400000000.0,,,,5700.0,,,,,,,,,,,,,
45,45,5700,0.1,3.0,5000.0,1998400000000.0,,,,5700.0,,,,,,,,,,,,,
46,46,5950,0.1,2.25,5000.0,1836750000000.0,,,,5950.0,,,,,,,,,,,,,
47,47,5950,0.1,3.0,5000.0,1836750000000.0,,,,5950.0,,,,,,,,,,,,,
48,48,6200,0.1,2.25,5000.0,1687270000000.0,,,,6200.0,,,,,,,,,,,,,
49,49,6200,0.1,3.0,5000.0,1687270000000.0,,,,6200.0,,,,,,,,,,,,,
50,50,6450,0.1,2.25,5000.0,1549200000000.0,,,,6450.0,,,,,,,,,,,,,
51,51,6450,0.1,3.0,5000.0,1549200000000.0,,,,6450.0,,,,,,,,,,,,,
52,52,6700,0.1,2.25,5000.0,1421780000000.0,,,,6700.0,,,,,,,,,,,,,
53,53,6700,0.1,3.0,5000.0,1421780000000.0,,,,6700.0,,,,,,,,,,,,,
54,54,6950,0.1,2.25,5000.0,1304280000000.0,,,,6950.0,,,,,,,,,,,,,
55,55,6950,0.1,3.0,5000.0,1304280000000.0,,,,6950.0,,,,,,,,,,,,,
56,56,7200,0.1,2.25,5000.0,1196010000000.0,,,,7200.0,,,,,,,,,,,,,
57,57,7200,0.1,3.0,5000.0,1196010000000.0,,,,7200.0,,,,,,,,,,,,,
