,Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.roughnessSubstrate,M1.roughnessCoating1,PremirrorM2.roughnessSubstrate,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessSubstrate,M3.roughnessCoating1,KB1.roughnessSubstrate,KB1.roughnessCoating1,KB2.roughnessSubstrate,KB2.roughnessCoating1,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,11.0,0.022,500.0,0.054301865170894,0.0569464498258218,0.0248600304238665,0.0916326289912643,0.05540948968313,0.0097392123925333,-0.0015615329730814,1656340400.0000002,9.20778684906024,0.2025713106793253,15251229352.687178,3.594111911502884e-08,2.009770622609641e-08
1,1,500,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7528820000000.0,0.5,15.0,0.03,500.0,0.0638636754263651,0.1042024194612752,0.0286206722689827,0.0655595819527713,0.0649588829523292,0.0205244763445663,-0.0031586887866782,2258646000.0,7.829176705880324,0.2348753011764097,17683338650.02977,4.901061697503933e-08,2.7405963035586017e-08
2,2,500,0.1,5,50000,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,9.0,0.018,500.0,0.030675865558405,0.0815663786889424,0.0251044893708302,0.0827968423729735,0.0621560162698941,0.0228997134468989,0.0094966395959293,1355187600.0000002,16.29945857755925,0.2933902543960665,22088824151.02194,2.9406370185023595e-08,1.6443577821351612e-08
3,3,500,0.1,5,50000,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,10.0,0.02,500.0,0.0730085489682709,0.1229360109992935,0.0295102533472701,0.1050267112194657,0.0687842796578362,0.0142094232203326,-0.0066659622846904,1505764000.0,6.848513044921591,0.1369702608984318,10312244396.573317,3.2673744650026216e-08,1.8270642023724007e-08
4,4,500,0.1,5,50000,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,12.0,0.024,500.0,0.0659369336000993,0.0957503833382676,0.0341699141915757,0.0819349178290931,0.064099795538047,0.0160121541086646,-0.0028601455107718,1806916800.0,7.583003526255077,0.1819920846301218,13701856466.04954,3.920849358003145e-08,2.1924770428468813e-08
5,5,500,0.1,5,50000,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,12.0,0.024,500.0,0.0602696987541668,0.0992806215793893,0.0284828146225815,0.0848417570124568,0.0601744071944678,0.0238703771951093,0.0001896719615564,1806916800.0,8.29604279323583,0.1991050270376599,14990259096.616749,3.920849358003145e-08,2.1924770428468813e-08
6,6,500,0.1,5,50000,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,15.0,0.03,500.0,0.0733569985427454,0.0821633312450323,0.0367256359563653,0.0907619668897722,0.0687991000847621,0.0072001585124946,0.0050032174256688,2258646000.0,6.8159822502640655,0.2044794675079219,15394891045.62993,4.901061697503933e-08,2.7405963035586017e-08
7,7,500,0.1,5,50000,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,16.0,0.032,500.0,0.0632627867656681,0.0580660925226687,0.0309917290681361,0.0867710029086661,0.0668633822876975,-0.0020680931599687,-0.0033115201370792,2409222400.0,7.903540541962708,0.2529132973428066,19041386913.004696,5.2277991440041935e-08,2.923302723795841e-08
8,8,500,0.1,5,50000,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,7.0,0.0139999999999999,500.0,0.0380448345124162,0.1035862833636748,0.028217063917543,0.0758642235946083,0.0484086559292353,0.0534481104168978,-0.0030866223355741,1054034800.0,13.14238861616866,0.1839934406263612,13852534956.565607,2.2871621255018343e-08,1.2789449416606806e-08
9,9,500,0.1,5,50000,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,14.0,0.0279999999999999,500.0,0.0592381097416596,0.0718309882193721,0.0277470191071364,0.0555556213750621,0.062263116078195,0.0158464775569355,-0.0018555627749467,2108069600.0,8.440512402919753,0.236334347281753,17793187605.018078,4.5743242510036686e-08,2.5578898833213612e-08
10,10,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,11.0,0.022,500.0,0.0755199336137027,0.0674998948356685,0.038398221406923,0.0667832692668404,0.0601021371032143,0.0061023805054458,0.00133448742625,1656340400.0000002,6.62076853188967,0.1456569077015727,10966246398.41755,3.594111911502884e-08,2.009770622609641e-08
11,11,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,5.0,0.01,500.0,0.0694177846341278,0.0741460938868689,0.0232636799258221,0.0331635313654939,0.0498033790997299,0.0167583986813071,-0.0089038530259284,752882000.0,7.202765150678482,0.0720276515067848,5422832232.173118,1.6336872325013105e-08,9.135321011862003e-09
12,12,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,11.0,0.022,500.0,0.0917400839370676,0.0775104252340219,0.0361911827266043,0.099813686127944,0.0745049354355121,0.0079429085912212,-0.0012380492564398,1656340400.0000002,5.450180319684391,0.1199039670330566,9027353850.778172,3.594111911502884e-08,2.009770622609641e-08
13,13,500,0.1,5,50000,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,11.0,0.022,500.0,0.0435848749666511,0.1232158780008788,0.0202321729747423,0.0693661205420097,0.0622085342183484,0.0110182990678491,-0.0006189544991332,1656340400.0000002,11.471869550677251,0.2523811301148996,19001321000.31658,3.594111911502884e-08,2.009770622609641e-08
14,14,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,7528820000000.0,0.5,11.0,0.022,500.0,0.072329702936528,0.0892462020385846,0.031973151748726,0.072036177591274,0.0607166663585332,-0.0005418626975775,-0.0047406362129926,1656340400.0000002,6.912789347949743,0.1520813656548943,11449932273.698818,3.594111911502884e-08,2.009770622609641e-08
15,15,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,7528820000000.0,0.5,11.0,0.022,500.0,0.0707892614611205,0.1061117743095171,0.0360418211454953,0.0817897083504629,0.0769444540263148,0.0391360562393218,-0.0008248887012407,1656340400.0000002,7.063218201176093,0.155390800425874,11699093660.623293,3.594111911502884e-08,2.009770622609641e-08
16,16,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,7528820000000.0,0.5,8.0,0.016,500.0,0.0758376965696719,0.0802134481063819,0.0307812106427483,0.1062648971848998,0.0612554836610583,0.0157404354899153,0.0016515252681498,1204611200.0,6.593027249194617,0.1054884359871138,7942034466.285027,2.6138995720020967e-08,1.4616513618979207e-08
17,17,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,7528820000000.0,0.5,14.0,0.0279999999999999,500.0,0.0679728120945892,0.1012350595407596,0.0281344177441441,0.1029269814251271,0.0847888390447293,0.0227009908876847,-0.0025463242449287,2108069600.0,7.355882221029973,0.2059647021888392,15506711691.333769,4.5743242510036686e-08,2.5578898833213612e-08
18,18,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,7528820000000.0,0.5,9.0,0.018,500.0,0.0650969107403052,0.0960436278682193,0.0273179238653059,0.0814199917235817,0.0534158188108665,0.0406923319321191,0.004074000100304,1355187600.0000002,7.680856039308507,0.1382554087075531,10409000861.856005,2.9406370185023595e-08,1.6443577821351612e-08
19,19,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,7528820000000.0,0.5,9.0,0.018,500.0,0.0723990080613179,0.0459952591452058,0.0366482269822935,0.0522087202067521,0.0740249831693075,0.0144219223592149,0.0010357084221457,1355187600.0000002,6.906171968219896,0.1243110954279581,9359158614.799198,2.9406370185023595e-08,1.6443577821351612e-08
20,20,500,0.1,5,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,7528820000000.0,0.5,15.0,0.03,500.0,0.0615236963269624,0.0965980178998058,0.0266719265865216,0.0843799033377939,0.0532181160130858,-0.0081645203028732,0.0031372679788667,2258646000.0,8.12694993718831,0.2438084981156493,18355902967.83063,4.901061697503933e-08,2.7405963035586017e-08
