Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.roughnessSubstrate,M1.roughnessCoating1,PremirrorM2.roughnessSubstrate,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessSubstrate,M3.roughnessCoating1,KB1.roughnessSubstrate,KB1.roughnessCoating1,KB2.roughnessSubstrate,KB2.roughnessCoating1
0,500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
1,500,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,500,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
3,500,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
4,500,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
5,500,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
6,500,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
7,500,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
8,500,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
9,500,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
10,500,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
11,500,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
12,500,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
13,500,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
14,500,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
15,500,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
16,500,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
17,500,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
18,500,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
19,500,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
20,500,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
21,500,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
22,500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
23,500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
24,500,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
25,500,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
26,500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
27,500,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
28,500,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
29,500,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
30,500,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
31,500,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
32,500,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
33,500,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
34,500,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
35,500,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
36,500,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
37,500,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
38,500,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
39,500,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
40,500,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
41,500,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
42,500,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
43,500,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
44,500,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
45,500,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
46,500,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
47,500,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
48,500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
49,500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
50,500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
51,500,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
52,750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
53,750,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
54,750,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
55,750,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
56,750,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
57,750,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
58,750,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
59,750,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
60,750,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
61,750,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
62,750,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
63,750,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
64,750,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
65,750,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
66,750,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
67,750,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
68,750,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
69,750,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
70,750,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
71,750,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
72,750,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
73,750,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
74,750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
75,750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
76,750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
77,750,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
78,750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
79,750,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
80,750,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
81,750,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
82,750,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
83,750,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
84,750,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
85,750,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
86,750,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
87,750,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
88,750,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
89,750,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
90,750,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
91,750,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
92,750,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
93,750,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
94,750,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
95,750,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
96,750,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
97,750,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
98,750,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
99,750,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
100,750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
101,750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
102,750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
103,750,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
104,1000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
105,1000,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
106,1000,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
107,1000,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
108,1000,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
109,1000,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
110,1000,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
111,1000,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
112,1000,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
113,1000,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
114,1000,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
115,1000,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
116,1000,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
117,1000,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
118,1000,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
119,1000,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
120,1000,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
121,1000,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
122,1000,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
123,1000,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
124,1000,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
125,1000,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
126,1000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
127,1000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
128,1000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
129,1000,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
130,1000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
131,1000,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
132,1000,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
133,1000,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
134,1000,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
135,1000,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
136,1000,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
137,1000,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
138,1000,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
139,1000,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
140,1000,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
141,1000,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
142,1000,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
143,1000,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
144,1000,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
145,1000,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
146,1000,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
147,1000,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
148,1000,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
149,1000,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
150,1000,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
151,1000,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
152,1000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
153,1000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
154,1000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
155,1000,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
156,1250,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
157,1250,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
158,1250,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
