,Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorMer,M3.slopeErrorSag,KB1.slopeErrorMer,KB1.slopeErrorSag,KB2.slopeErrorMer,KB2.slopeErrorSag,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,3.0,0.03,500.0,0.0595904478572441,0.1326236898199936,0.0166740332701115,0.0686728371870162,0.0849411116062471,0.0026051071359433,-0.0135338055495618,2258646000.0,8.390606514618044,0.2517181954385413,18951409841.815987,4.901061697503933e-08,2.7405963035586017e-08
1,1,500,0.1,5,10000,0.5,1.5,0.05,0.5,0.05,0.5,0.3,1.0,0.05,0.1,0.05,0.1,7528820000000.0,0.5,4.0,0.04,500.0,0.0566989578322076,0.0630568865847989,0.0268546036518885,0.0633039574309388,0.0886188325007226,-0.0580242997024492,-0.004897375190706,3011528000.0,8.818504239172743,0.3527401695669097,26557172434.387413,6.534748930005243e-08,3.6541284047448014e-08
2,2,500,0.1,5,10000,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,2.0,0.02,500.0,0.004021538796956,0.0414579987891344,0.0042794601817855,0.0121684083956122,0.0411687366774383,-0.0154951862475766,-0.0111853080527157,1505764000.0,124.33051755672687,2.486610351134538,187212417438.2873,3.2673744650026216e-08,1.8270642023724007e-08
3,3,500,0.1,5,10000,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,2.0,0.02,500.0,0.0906067819993203,0.0609066309892587,0.0329981870369879,0.0716341911557283,0.0137816278449557,0.0184379614986214,0.0052102767288819,1505764000.0,5.518350712463781,0.1103670142492756,8309333842.202312,3.2673744650026216e-08,1.8270642023724007e-08
4,4,500,0.1,5,10000,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,2.0,0.02,500.0,0.0106499973413576,0.0579472336080948,0.0070029285703092,0.0053396418844379,0.0740231318959679,-0.0935648628495582,-0.0046707704995653,1505764000.0,46.94836852759821,0.9389673705519644,70693163187.5904,3.2673744650026216e-08,1.8270642023724007e-08
5,5,500,0.1,5,10000,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
6,6,500,0.1,5,10000,0.0,0.0,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,6.0,0.06,500.0,0.0427354391462403,0.0400967567982344,0.0264916281791775,0.0610106779845462,0.0590363885389571,0.0387797866854554,-0.0096694581528258,4517292000.0,11.69989147154904,0.7019934882929424,52851826145.29671,9.802123395007865e-08,5.4811926071172034e-08
7,7,500,0.1,5,10000,0.0,0.0,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,5.0,0.05,500.0,0.0848848042202448,0.1136995987345278,0.0383839865754194,0.0257819888918002,0.0512897077196272,0.0434855042261413,-0.0088582095061996,3764410000.0,5.890335786163609,0.2945167893081805,22173638936.792152,8.168436162506553e-08,4.567660505931002e-08
8,8,500,0.1,5,10000,0.0,0.0,0.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
9,9,500,0.1,5,10000,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,2.0,0.02,500.0,0.0943971173220877,0.0253695557638154,0.0506388587174356,0.0585881008824966,0.0203461995294258,0.0175160478891458,-0.0012768065298641,1505764000.0,5.296771916180182,0.1059354383236036,7975688467.595135,3.2673744650026216e-08,1.8270642023724007e-08
10,10,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,3.0,0.03,500.0,0.0622088053076329,0.0833789949119667,0.03134630716664,0.0878844711530332,0.036719563851852,-0.0004075991655781,0.0084107853596826,2258646000.0,8.037447392333235,0.241123421769997,18153748402.90389,4.901061697503933e-08,2.7405963035586017e-08
11,11,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
12,12,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,4.0,0.04,500.0,0.0670608111116931,0.0672616439302244,0.0298687650254438,0.0962353619493759,0.0543326490991477,0.0226509704667007,0.0025540337412287,3011528000.0,7.455919362013453,0.2982367744805381,22453709924.44565,6.534748930005243e-08,3.6541284047448014e-08
13,13,500,0.1,5,10000,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
14,14,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,7528820000000.0,0.5,4.0,0.04,500.0,0.0401000566702152,0.0361778958336183,0.0194896270282347,0.0534185098689279,0.0215491880352709,0.0126276303615663,0.0002813292266152,3011528000.0,12.46881030897347,0.4987524123589388,37550171372.16226,6.534748930005243e-08,3.6541284047448014e-08
15,15,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
16,16,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,7528820000000.0,0.5,4.0,0.04,500.0,0.0591614723047061,0.1275193023922293,0.0276027928380766,0.0870024348586008,0.0853768716155188,0.0381119905104742,-0.0052791907456525,3011528000.0,8.451446194996514,0.3380578477998605,25451766856.72546,6.534748930005243e-08,3.6541284047448014e-08
17,17,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,4.0,0.04,500.0,0.0664544592680042,0.3161499555302453,0.0383563481761813,0.0322641009909444,0.0746414066626818,0.0192673364392497,0.0045820168542704,3011528000.0,7.523949566477536,0.3009579826591014,22658584790.03496,6.534748930005243e-08,3.6541284047448014e-08
18,18,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
19,19,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,7528820000000.0,0.5,4.0,0.04,500.0,0.0232897422644351,0.0682282113194223,0.0221729081830291,0.0610530814533801,0.0546171084862977,0.0207497151325367,0.0010077166291959,3011528000.0,21.468678971322543,0.8587471588529018,64653527845.14903,6.534748930005243e-08,3.6541284047448014e-08
20,20,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
21,21,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,7528820000000.0,0.5,3.0,0.03,500.0,0.0855908267280658,0.0608977323051342,0.0330261301872225,0.1147045334443973,0.0716554760219426,0.0320133551676154,0.0042717716862119,2258646000.0,5.841747522647151,0.1752524256794145,13194439675.036898,4.901061697503933e-08,2.7405963035586017e-08
22,22,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,7528820000000.0,0.5,4.0,0.04,500.0,0.0485332309288007,0.0549427636296596,0.0217106581638276,0.0835936022728001,0.0590573905457088,0.0059249306116556,-0.0066354814665567,3011528000.0,10.302219539711064,0.4120887815884426,31025422605.98698,6.534748930005243e-08,3.6541284047448014e-08
23,23,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,7528820000000.0,0.5,3.0,0.03,500.0,0.084603483632832,0.0566578572640917,0.0259212112695469,0.0447124001256456,0.0757686515541317,0.0147325761151041,0.0049463702625861,2258646000.0,5.909922127674249,0.1772976638302274,13348421973.982931,4.901061697503933e-08,2.7405963035586017e-08
24,24,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,,,,,500.0,,,,,,,,,,,,,
25,25,500,0.1,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7528820000000.0,0.5,2.0,0.02,500.0,0.0305787222113322,0.1008721536019133,0.0096442718583758,0.0700000669546576,0.0284369578384459,-0.0048267706732223,-0.0031486923466751,1505764000.0,16.351239157230182,0.3270247831446037,24621107278.34755,3.2673744650026216e-08,1.8270642023724007e-08
26,26,500,0.05,5,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
27,27,500,0.05,5,10000,0.5,1.5,0.05,0.5,0.05,0.5,0.3,1.0,0.05,0.1,0.05,0.1,7528820000000.0,0.5,5.0,0.05,500.0,0.05530924985181,0.1265078845215264,0.015453262266238,0.0436464222551768,0.0598037300690179,-0.0183584299176083,0.0003298375991347,3764410000.0,9.040079215314776,0.4520039607657388,34030564598.9231,8.168436162506553e-08,4.567660505931002e-08
28,28,500,0.05,5,10000,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
29,29,500,0.05,5,10000,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
30,30,500,0.05,5,10000,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,2.0,0.02,500.0,0.0132536997144783,0.0470567434260367,0.0034929992345506,0.0497109115835878,0.0024939410251005,-0.0234222166597419,-0.0096695033277296,1505764000.0,37.72531525320429,0.7545063050640859,56805421596.9259,3.2673744650026216e-08,1.8270642023724007e-08
31,31,500,0.05,5,10000,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,3.0,0.03,500.0,0.0292821820437867,0.293723905057125,0.0092288525588189,0.0714183151820393,0.0224083618142808,-0.1460755554021268,-0.0057928043730751,2258646000.0,17.07523022882419,0.5122569068647257,38566900455.41284,4.901061697503933e-08,2.7405963035586017e-08
32,32,500,0.05,5,10000,0.0,0.0,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,0.5,2.0,0.02,500.0,0.0090529420749652,0.0645342998140036,0.0176669445040089,0.0214505219410648,0.0542367782865845,0.0183588740641362,0.002077584778996,1505764000.0,55.23066378417316,1.1046132756834632,83164345222.3117,3.2673744650026216e-08,1.8270642023724007e-08
33,33,500,0.05,5,10000,0.0,0.0,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
34,34,500,0.05,5,10000,0.0,0.0,0.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
35,35,500,0.05,5,10000,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
36,36,500,0.05,5,10000,0.0,0.0,0.0,0.0,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
37,37,500,0.05,5,10000,0.0,0.0,0.0,0.0,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
38,38,500,0.05,5,10000,0.0,0.0,0.0,0.0,0.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,500.0,,,,,,,,,,,,,
39,39,500,0.05,5,10000,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7528820000000.0,,,,500.0,,,,,,,,,,,,,
