          71          71          37   166.369995      WAVE
 -1.0000E+00 -1.0000E+00  1.0007E+09  9.9321E-01 -1.1031E-01  3.6952E-02
 -9.7143E-01 -1.0000E+00  2.2843E+09  9.8043E-01  1.0109E-01  1.6891E-01
 -9.4286E-01 -1.0000E+00  5.3210E+09  9.8048E-01  1.7682E-01  8.5963E-02
 -9.1429E-01 -1.0000E+00  7.8565E+09  9.8311E-01  1.8154E-01  2.2962E-02
 -8.8571E-01 -1.0000E+00  7.9852E+09  9.8644E-01  1.6189E-01 -2.7045E-02
 -8.5714E-01 -1.0000E+00  5.7627E+09  9.9092E-01  1.1420E-01 -7.0945E-02
 -8.2857E-01 -1.0000E+00  3.1626E+09  9.9719E-01  8.6911E-03 -7.4412E-02
 -8.0000E-01 -1.0000E+00  2.6047E+09  9.9615E-01 -3.9267E-02  7.8409E-02
 -7.7143E-01 -1.0000E+00  5.2838E+09  9.8950E-01  7.9485E-02  1.2071E-01
 -7.4286E-01 -1.0000E+00  1.0443E+10  9.8876E-01  1.2789E-01  7.7494E-02
 -7.1429E-01 -1.0000E+00  1.5909E+10  9.8986E-01  1.3646E-01  3.9359E-02
 -6.8571E-01 -1.0000E+00  1.9370E+10  9.9144E-01  1.3022E-01  9.8292E-03
 -6.5714E-01 -1.0000E+00  1.9573E+10  9.9324E-01  1.1517E-01 -1.4217E-02
 -6.2857E-01 -1.0000E+00  1.6851E+10  9.9533E-01  9.0603E-02 -3.3317E-02
 -6.0000E-01 -1.0000E+00  1.2846E+10  9.9772E-01  5.3065E-02 -4.1751E-02
 -5.7143E-01 -1.0000E+00  9.7415E+09  9.9974E-01  7.6761E-03 -2.1505E-02
 -5.4286E-01 -1.0000E+00  9.4069E+09  9.9944E-01 -6.4797E-03  3.2785E-02
 -5.1429E-01 -1.0000E+00  1.2824E+10  9.9743E-01  2.5464E-02  6.7020E-02
 -4.8571E-01 -1.0000E+00  1.9919E+10  9.9627E-01  5.6591E-02  6.5142E-02
 -4.5714E-01 -1.0000E+00  2.9752E+10  9.9610E-01  7.1775E-02  5.1355E-02
 -4.2857E-01 -1.0000E+00  4.0913E+10  9.9638E-01  7.6441E-02  3.7169E-02
 -4.0000E-01 -1.0000E+00  5.1940E+10  9.9683E-01  7.5511E-02  2.5081E-02
 -3.7143E-01 -1.0000E+00  6.1643E+10  9.9732E-01  7.1573E-02  1.5195E-02
 -3.4286E-01 -1.0000E+00  6.9273E+10  9.9780E-01  6.5934E-02  7.1864E-03
