          71          71         169   489.290009      WAVE
 -1.0000E+00 -1.0000E+00  9.8943E+07  9.2332E-01  3.2091E-01 -2.1093E-01
 -9.7143E-01 -1.0000E+00  1.3474E+08  9.2032E-01  3.7113E-01  1.2363E-01
 -9.4286E-01 -1.0000E+00  1.5859E+08  9.2989E-01  3.3423E-01 -1.5361E-01
 -9.1429E-01 -1.0000E+00  9.2493E+07  9.3427E-01  2.9772E-01  1.9620E-01
 -8.8571E-01 -1.0000E+00  2.7125E+08  9.3618E-01  3.4253E-01 -7.9010E-02
 -8.5714E-01 -1.0000E+00  2.8932E+07  9.7297E-01 -8.3120E-02  2.1544E-01
 -8.2857E-01 -1.0000E+00  3.4925E+08  9.4344E-01  3.3153E-01  1.4531E-03
 -8.0000E-01 -1.0000E+00  1.1152E+08  9.5882E-01  1.9598E-01 -2.0559E-01
 -7.7143E-01 -1.0000E+00  1.9403E+08  9.5315E-01  2.7677E-01  1.2211E-01
 -7.4286E-01 -1.0000E+00  4.2169E+08  9.5649E-01  2.8645E-01 -5.5423E-02
 -7.1429E-01 -1.0000E+00  5.1574E+07  9.8389E-01 -4.5218E-02 -1.7294E-01
 -6.8571E-01 -1.0000E+00  3.4038E+08  9.6280E-01  2.6090E-01  7.0394E-02
 -6.5714E-01 -1.0000E+00  5.1125E+08  9.6682E-01  2.4926E-01 -5.5933E-02
 -6.2857E-01 -1.0000E+00  8.1012E+07  9.8498E-01  1.5222E-02 -1.7200E-01
 -6.0000E-01 -1.0000E+00  3.0591E+08  9.7270E-01  2.1239E-01  9.3562E-02
 -5.7143E-01 -1.0000E+00  7.1400E+08  9.7474E-01  2.2268E-01 -1.7468E-02
 -5.4286E-01 -1.0000E+00  3.5381E+08  9.8033E-01  1.6693E-01 -1.0529E-01
 -5.1429E-01 -1.0000E+00  7.6128E+07  9.9219E-01 -4.3070E-02  1.1702E-01
 -4.8571E-01 -1.0000E+00  5.4328E+08  9.8197E-01  1.8198E-01  5.1196E-02
 -4.5714E-01 -1.0000E+00  9.3491E+08  9.8411E-01  1.7690E-01 -1.5093E-02
 -4.2857E-01 -1.0000E+00  6.2112E+08  9.8732E-01  1.4413E-01 -6.6586E-02
 -4.0000E-01 -1.0000E+00  1.4616E+08  9.9461E-01  6.7125E-03 -1.0349E-01
 -3.7143E-01 -1.0000E+00  2.1308E+08  9.9169E-01  7.6740E-02  1.0323E-01
 -3.4286E-01 -1.0000E+00  7.5170E+08  9.9105E-01  1.2939E-01  3.2833E-02
 -3.1429E-01 -1.0000E+00  1.2016E+09  9.9248E-01  1.2238E-01 -2.8335E-03
 -2.8571E-01 -1.0000E+00  1.2069E+09  9.9401E-01  1.0619E-01 -2.5821E-02
 -2.5714E-01 -1.0000E+00  8.5039E+08  9.9553E-01  8.3122E-02 -4.4922E-02
 -2.2857E-01 -1.0000E+00  4.2913E+08  9.9713E-01  4.5042E-02 -6.0801E-02
 -2.0000E-01 -1.0000E+00  1.7532E+08  9.9884E-01 -2.3302E-02 -4.2247E-02
 -1.7143E-01 -1.0000E+00  1.5241E+08  9.9874E-01 -1.8108E-02  4.6876E-02
 -1.4286E-01 -1.0000E+00  3.0082E+08  9.9847E-01  3.2094E-02  4.5122E-02
 -1.1429E-01 -1.0000E+00  5.2324E+08  9.9886E-01  4.0774E-02  2.4951E-02
 -8.5714E-02 -1.0000E+00  7.4085E+08  9.9929E-01  3.5838E-02  1.1683E-02
 -5.7143E-02 -1.0000E+00  9.0956E+08  9.9963E-01  2.7058E-02  3.3970E-03
 -2.8571E-02 -1.0000E+00  1.0126E+09  9.9985E-01  1.7160E-02 -2.0089E-03
  0.0000E+00 -1.0000E+00  1.0468E+09  9.9996E-01  7.1042E-03 -5.8114E-03
  2.8571E-02 -1.0000E+00  1.0126E+09  9.9996E-01 -2.6310E-03 -8.8541E-03
  5.7143E-02 -1.0000E+00  9.0987E+08  9.9986E-01 -1.1610E-02 -1.1772E-02
  8.5714E-02 -1.0000E+00  7.4200E+08  9.9970E-01 -1.9104E-02 -1.5061E-02
  1.1429E-01 -1.0000E+00  5.2582E+08  9.9955E-01 -2.3432E-02 -1.8856E-02
  1.4286E-01 -1.0000E+00  3.0508E+08  9.9958E-01 -2.0294E-02 -2.0787E-02
  1.7143E-01 -1.0000E+00  1.5763E+08  9.9997E-01 -7.6229E-03 -2.3392E-03
  2.0000E-01 -1.0000E+00  1.7930E+08  9.9851E-01 -4.0973E-02  3.6128E-02
  2.2857E-01 -1.0000E+00  4.2856E+08  9.9641E-01 -8.1251E-02  2.3732E-02
  2.5714E-01 -1.0000E+00  8.4280E+08  9.9509E-01 -9.8749E-02  6.2197E-03
  2.8571E-01 -1.0000E+00  1.1939E+09  9.9398E-01 -1.0918E-01 -8.8425E-03
  3.1429E-01 -1.0000E+00  1.1904E+09  9.9300E-01 -1.1540E-01 -2.5056E-02
  3.4286E-01 -1.0000E+00  7.5084E+08  9.9254E-01 -1.1238E-01 -4.7353E-02
  3.7143E-01 -1.0000E+00  2.2219E+08  9.9542E-01 -6.1131E-02 -7.3540E-02
  4.0000E-01 -1.0000E+00  1.5168E+08  9.9394E-01 -7.5386E-02  8.0043E-02
  4.2857E-01 -1.0000E+00  6.1044E+08  9.8654E-01 -1.6198E-01  2.2178E-02
  4.5714E-01 -1.0000E+00  9.1775E+08  9.8455E-01 -1.7381E-01 -2.1160E-02
  4.8571E-01 -1.0000E+00  5.4247E+08  9.8455E-01 -1.6140E-01 -6.7861E-02
  5.1429E-01 -1.0000E+00  8.7385E+07  9.9874E-01  2.4624E-03 -5.0068E-02
  5.4286E-01 -1.0000E+00  3.4715E+08  9.7900E-01 -1.9645E-01  5.4478E-02
  5.7143E-01 -1.0000E+00  6.9512E+08  9.7533E-01 -2.1945E-01 -2.4105E-02
  6.0000E-01 -1.0000E+00  3.0988E+08  9.7780E-01 -1.8325E-01 -1.0167E-01
  6.2857E-01 -1.0000E+00  8.7908E+07  9.8592E-01 -1.0019E-01  1.3388E-01
  6.5714E-01 -1.0000E+00  4.9202E+08  9.6644E-01 -2.5685E-01  3.9050E-03
  6.8571E-01 -1.0000E+00  3.3816E+08  9.6757E-01 -2.3397E-01 -9.5235E-02
  7.1429E-01 -1.0000E+00  6.0216E+07  9.8812E-01 -6.3420E-02  1.4000E-01
  7.4286E-01 -1.0000E+00  4.0171E+08  9.5623E-01 -2.9261E-01 -1.4450E-03
  7.7143E-01 -1.0000E+00  1.9764E+08  9.6215E-01 -2.3719E-01 -1.3421E-01
  8.0000E-01 -1.0000E+00  1.1159E+08  9.5848E-01 -2.4947E-01  1.3816E-01
  8.2857E-01 -1.0000E+00  3.3227E+08  9.4575E-01 -3.2002E-01 -5.6018E-02
  8.5714E-01 -1.0000E+00  4.1093E+07  9.9577E-01  1.3823E-05 -9.1915E-02
  8.8571E-01 -1.0000E+00  2.5245E+08  9.3538E-01 -3.5351E-01  9.7747E-03
  9.1429E-01 -1.0000E+00  9.9694E+07  9.5345E-01 -2.3841E-01 -1.8464E-01
  9.4286E-01 -1.0000E+00  1.4775E+08  9.2820E-01 -3.6410E-01  7.6704E-02
  9.7143E-01 -1.0000E+00  1.3454E+08  9.3423E-01 -3.2001E-01 -1.5751E-01
  1.0000E+00 -1.0000E+00  9.3782E+07  9.2317E-01 -3.6244E-01  1.2803E-01
 -1.0000E+00 -9.7143E-01  1.3178E+08  9.1849E-01  3.7439E-01  1.2728E-01
 -9.7143E-01 -9.7143E-01  1.4549E+08  9.2883E-01  3.3118E-01 -1.6611E-01
 -9.4286E-01 -9.7143E-01  1.1183E+08  9.3092E-01  3.2278E-01  1.7086E-01
 -9.1429E-01 -9.7143E-01  2.4043E+08  9.3524E-01  3.3894E-01 -1.0220E-01
 -8.8571E-01 -9.7143E-01  4.9715E+07  9.5412E-01  1.2836E-01  2.7053E-01
 -8.5714E-01 -9.7143E-01  3.5498E+08  9.4205E-01  3.3423E-01 -2.8763E-02
 -8.2857E-01 -9.7143E-01  4.9849E+07  9.7263E-01  1.5327E-02 -2.3183E-01
 -8.0000E-01 -9.7143E-01  3.0938E+08  9.5003E-01  3.0581E-01  6.2643E-02
 -7.7143E-01 -9.7143E-01  3.0849E+08  9.5680E-01  2.7060E-01 -1.0639E-01
 -7.4286E-01 -9.7143E-01  6.1192E+07  9.7407E-01  4.7273E-02  2.2126E-01
 -7.1429E-01 -9.7143E-01  5.0949E+08  9.6084E-01  2.7689E-01  1.1094E-02
 -6.8571E-01 -9.7143E-01  2.9097E+08  9.6838E-01  2.1681E-01 -1.2345E-01
 -6.5714E-01 -9.7143E-01  9.6643E+07  9.7714E-01  9.2044E-02  1.9164E-01
 -6.2857E-01 -9.7143E-01  6.2437E+08  9.7021E-01  2.4168E-01  1.6937E-02
 -6.0000E-01 -9.7143E-01  5.0041E+08  9.7503E-01  2.0699E-01 -8.0453E-02
 -5.7143E-01 -9.7143E-01  6.7941E+07  9.9501E-01 -9.6827E-02 -2.4265E-02
 -5.4286E-01 -9.7143E-01  4.7861E+08  9.7859E-01  1.9469E-01  6.6846E-02
 -5.1429E-01 -9.7143E-01  9.1668E+08  9.8069E-01  1.9488E-01 -1.6362E-02
 -4.8571E-01 -9.7143E-01  5.1825E+08  9.8487E-01  1.5190E-01 -8.3385E-02
 -4.5714E-01 -9.7143E-01  9.4157E+07  9.9714E-01 -7.3484E-02 -1.7908E-02
 -4.2857E-01 -9.7143E-01  4.5340E+08  9.8733E-01  1.4039E-01  7.3900E-02
 -4.0000E-01 -9.7143E-01  1.0956E+09  9.8833E-01  1.5203E-01  9.1221E-03
 -3.7143E-01 -9.7143E-01  1.1838E+09  9.9033E-01  1.3588E-01 -2.8140E-02
 -3.4286E-01 -9.7143E-01  6.8780E+08  9.9277E-01  1.0249E-01 -6.2509E-02
 -3.1429E-01 -9.7143E-01  2.0742E+08  9.9706E-01  3.3344E-03 -7.6491E-02
 -2.8571E-01 -9.7143E-01  1.9859E+08  9.9654E-01  1.7792E-02  8.1214E-02
 -2.5714E-01 -9.7143E-01  6.3192E+08  9.9536E-01  8.5558E-02  4.3922E-02
 -2.2857E-01 -9.7143E-01  1.1924E+09  9.9614E-01  8.6577E-02  1.4432E-02
 -2.0000E-01 -9.7143E-01  1.5978E+09  9.9704E-01  7.6847E-02 -1.9797E-03
 -1.7143E-01 -9.7143E-01  1.7440E+09  9.9785E-01  6.4455E-02 -1.2080E-02
 -1.4286E-01 -9.7143E-01  1.6760E+09  9.9852E-01  5.1160E-02 -1.8420E-02
 -1.1429E-01 -9.7143E-01  1.4960E+09  9.9905E-01  3.7638E-02 -2.1977E-02
 -8.5714E-02 -9.7143E-01  1.2956E+09  9.9943E-01  2.4413E-02 -2.3157E-02
 -5.7143E-02 -9.7143E-01  1.1312E+09  9.9968E-01  1.2022E-02 -2.2279E-02
 -2.8571E-02 -9.7143E-01  1.0278E+09  9.9980E-01  8.8213E-04 -1.9845E-02
  0.0000E+00 -9.7143E-01  9.9278E+08  9.9982E-01 -8.9600E-03 -1.6585E-02
  2.8571E-02 -9.7143E-01  1.0271E+09  9.9975E-01 -1.7895E-02 -1.3299E-02
  5.7143E-02 -9.7143E-01  1.1294E+09  9.9959E-01 -2.6507E-02 -1.0666E-02
  8.5714E-02 -9.7143E-01  1.2923E+09  9.9934E-01 -3.5227E-02 -9.1727E-03
  1.1429E-01 -9.7143E-01  1.4906E+09  9.9898E-01 -4.4166E-02 -9.1231E-03
  1.4286E-01 -9.7143E-01  1.6685E+09  9.9853E-01 -5.3151E-02 -1.0709E-02
  1.7143E-01 -9.7143E-01  1.7355E+09  9.9799E-01 -6.1777E-02 -1.4153E-02
  2.0000E-01 -9.7143E-01  1.5907E+09  9.9740E-01 -6.9261E-02 -1.9911E-02
  2.2857E-01 -9.7143E-01  1.1902E+09  9.9686E-01 -7.3657E-02 -2.8983E-02
  2.5714E-01 -9.7143E-01  6.3653E+08  9.9677E-01 -6.7995E-02 -4.2797E-02
  2.8571E-01 -9.7143E-01  2.0742E+08  9.9892E-01 -2.1978E-02 -4.0904E-02
  3.1429E-01 -9.7143E-01  2.1238E+08  9.9639E-01 -6.2494E-02  5.7470E-02
  3.4286E-01 -9.7143E-01  6.8089E+08  9.9210E-01 -1.2326E-01  2.3400E-02
  3.7143E-01 -9.7143E-01  1.1674E+09  9.9035E-01 -1.3847E-01 -6.2801E-03
  4.0000E-01 -9.7143E-01  1.0848E+09  9.8928E-01 -1.4199E-01 -3.4049E-02
  4.2857E-01 -9.7143E-01  4.5944E+08  9.9022E-01 -1.1871E-01 -7.3265E-02
  4.5714E-01 -9.7143E-01  1.0408E+08  9.9911E-01 -2.0207E-03  4.2089E-02
