         151         151         211   299.410004      WAVE
 -1.0000E+00 -1.0000E+00  3.5778E+06  7.9251E-01 -4.5752E-01  4.0325E-01
 -9.8667E-01 -1.0000E+00  1.2501E+07  4.1172E-01  9.1879E-02  9.0667E-01
 -9.7333E-01 -1.0000E+00  2.9043E+07  4.2872E-01  3.9847E-01  8.1082E-01
 -9.6000E-01 -1.0000E+00  4.3109E+07  4.8474E-01  5.3540E-01  6.9165E-01
 -9.4667E-01 -1.0000E+00  4.5410E+07  5.4608E-01  6.1515E-01  5.6867E-01
 -9.3333E-01 -1.0000E+00  3.4128E+07  6.1870E-01  6.6654E-01  4.1586E-01
 -9.2000E-01 -1.0000E+00  1.6727E+07  7.3853E-01  6.5433E-01  1.6255E-01
 -9.0667E-01 -1.0000E+00  5.5908E+06  9.8625E-01  1.0250E-01 -1.2960E-01
 -8.9333E-01 -1.0000E+00  1.0263E+07  7.4010E-01 -8.7393E-02  6.6679E-01
 -8.8000E-01 -1.0000E+00  3.1222E+07  6.6157E-01  2.7836E-01  6.9631E-01
 -8.6667E-01 -1.0000E+00  5.9075E+07  6.7372E-01  4.2030E-01  6.0783E-01
 -8.5333E-01 -1.0000E+00  7.9653E+07  6.9772E-01  4.8987E-01  5.2270E-01
 -8.4000E-01 -1.0000E+00  8.1986E+07  7.2451E-01  5.3271E-01  4.3738E-01
 -8.2667E-01 -1.0000E+00  6.4610E+07  7.5564E-01  5.6227E-01  3.3596E-01
 -8.1333E-01 -1.0000E+00  3.6738E+07  8.0222E-01  5.6867E-01  1.8182E-01
 -8.0000E-01 -1.0000E+00  1.3793E+07  9.1192E-01  3.9954E-01 -9.3678E-02
 -7.8667E-01 -1.0000E+00  9.7453E+06  9.5884E-01 -1.6700E-01  2.2966E-01
 -7.7333E-01 -1.0000E+00  3.0194E+07  8.3361E-01  1.2340E-01  5.3839E-01
 -7.6000E-01 -1.0000E+00  6.9517E+07  8.1480E-01  2.8782E-01  5.0325E-01
 -7.4667E-01 -1.0000E+00  1.1326E+08  8.1877E-01  3.5990E-01  4.4731E-01
 -7.3333E-01 -1.0000E+00  1.4443E+08  8.2772E-01  3.9913E-01  3.9443E-01
 -7.2000E-01 -1.0000E+00  1.5077E+08  8.3821E-01  4.2481E-01  3.4197E-01
 -7.0667E-01 -1.0000E+00  1.2985E+08  8.4995E-01  4.4424E-01  2.8327E-01
 -6.9333E-01 -1.0000E+00  9.0015E+07  8.6474E-01  4.5836E-01  2.0528E-01
 -6.8000E-01 -1.0000E+00  4.7147E+07  8.9050E-01  4.4853E-01  7.6300E-02
 -6.6667E-01 -1.0000E+00  1.8740E+07  9.5767E-01  2.5889E-01 -1.2585E-01
 -6.5333E-01 -1.0000E+00  1.7655E+07  9.8186E-01 -9.6565E-02  1.6319E-01
 -6.4000E-01 -1.0000E+00  4.7819E+07  9.2405E-01  8.2403E-02  3.7329E-01
 -6.2667E-01 -1.0000E+00  1.0314E+08  9.0822E-01  1.9646E-01  3.6952E-01
 -6.1333E-01 -1.0000E+00  1.6973E+08  9.0602E-01  2.5073E-01  3.4097E-01
 -6.0000E-01 -1.0000E+00  2.3032E+08  9.0785E-01  2.8052E-01  3.1164E-01
 -5.8667E-01 -1.0000E+00  2.6942E+08  9.1106E-01  2.9929E-01  2.8353E-01
 -5.7333E-01 -1.0000E+00  2.7755E+08  9.1480E-01  3.1278E-01  2.5554E-01
 -5.6000E-01 -1.0000E+00  2.5342E+08  9.1880E-01  3.2390E-01  2.2558E-01
 -5.4667E-01 -1.0000E+00  2.0386E+08  9.2313E-01  3.3417E-01  1.9015E-01
 -5.3333E-01 -1.0000E+00  1.4164E+08  9.2842E-01  3.4324E-01  1.4225E-01
 -5.2000E-01 -1.0000E+00  8.2173E+07  9.3710E-01  3.4270E-01  6.6288E-02
 -5.0667E-01 -1.0000E+00  3.9856E+07  9.5839E-01  2.7919E-01 -5.9469E-02
 -4.9333E-01 -1.0000E+00  2.5143E+07  9.9650E-01  3.0497E-02 -7.7886E-02
 -4.8000E-01 -1.0000E+00  4.2742E+07  9.8841E-01 -3.0411E-02  1.4873E-01
 -4.6667E-01 -1.0000E+00  9.1217E+07  9.7203E-01  5.3075E-02  2.2880E-01
 -4.5333E-01 -1.0000E+00  1.6382E+08  9.6524E-01  1.0786E-01  2.3808E-01
 -4.4000E-01 -1.0000E+00  2.5022E+08  9.6294E-01  1.3878E-01  2.3129E-01
 -4.2667E-01 -1.0000E+00  3.3854E+08  9.6255E-01  1.5709E-01  2.2097E-01
 -4.1333E-01 -1.0000E+00  4.1746E+08  9.6303E-01  1.6855E-01  2.1015E-01
 -4.0000E-01 -1.0000E+00  4.7782E+08  9.6392E-01  1.7611E-01  1.9959E-01
 -3.8667E-01 -1.0000E+00  5.1363E+08  9.6500E-01  1.8139E-01  1.8939E-01
 -3.7333E-01 -1.0000E+00  5.2251E+08  9.6614E-01  1.8539E-01  1.7947E-01
 -3.6000E-01 -1.0000E+00  5.0544E+08  9.6726E-01  1.8878E-01  1.6963E-01
 -3.4667E-01 -1.0000E+00  4.6619E+08  9.6831E-01  1.9210E-01  1.5958E-01
 -3.3333E-01 -1.0000E+00  4.1041E+08  9.6927E-01  1.9580E-01  1.4892E-01
 -3.2000E-01 -1.0000E+00  3.4471E+08  9.7011E-01  2.0030E-01  1.3701E-01
 -3.0667E-01 -1.0000E+00  2.7581E+08  9.7082E-01  2.0598E-01  1.2279E-01
 -2.9333E-01 -1.0000E+00  2.0979E+08  9.7146E-01  2.1295E-01  1.0448E-01
 -2.8000E-01 -1.0000E+00  1.5165E+08  9.7218E-01  2.2047E-01  7.9052E-02
 -2.6667E-01 -1.0000E+00  1.0502E+08  9.7348E-01  2.2490E-01  4.1811E-02
 -2.5333E-01 -1.0000E+00  7.2064E+07  9.7653E-01  2.1510E-01 -1.1090E-02
 -2.4000E-01 -1.0000E+00  5.3637E+07  9.8295E-01  1.7044E-01 -6.9005E-02
 -2.2667E-01 -1.0000E+00  4.9422E+07  9.9166E-01  8.9707E-02 -9.2518E-02
 -2.1333E-01 -1.0000E+00  5.8212E+07  9.9772E-01  1.9779E-02 -6.4481E-02
 -2.0000E-01 -1.0000E+00  7.8183E+07  9.9970E-01 -1.2688E-02 -2.0761E-02
 -1.8667E-01 -1.0000E+00  1.0715E+08  9.9968E-01 -2.1531E-02  1.3441E-02
 -1.7333E-01 -1.0000E+00  1.4278E+08  9.9913E-01 -2.1667E-02  3.5600E-02
 -1.6000E-01 -1.0000E+00  1.8282E+08  9.9859E-01 -1.9803E-02  4.9199E-02
 -1.4667E-01 -1.0000E+00  2.2514E+08  9.9819E-01 -1.8254E-02  5.7358E-02
 -1.3333E-01 -1.0000E+00  2.6790E+08  9.9791E-01 -1.7674E-02  6.2081E-02
 -1.2000E-01 -1.0000E+00  3.0955E+08  9.9775E-01 -1.8149E-02  6.4577E-02
 -1.0667E-01 -1.0000E+00  3.4884E+08  9.9766E-01 -1.9598E-02  6.5570E-02
 -9.3333E-02 -1.0000E+00  3.8478E+08  9.9761E-01 -2.1899E-02  6.5498E-02
