         151         151         304   990.000000      WAVE
 -1.0000E+00 -1.0000E+00  7.2663E+06  6.8208E-01 -7.2218E-01  1.1499E-01
 -9.8667E-01 -1.0000E+00  3.6015E+06  8.7098E-01  9.5880E-02 -4.8188E-01
 -9.7333E-01 -1.0000E+00  6.2835E+06  5.2349E-01 -8.4995E-01 -5.9506E-02
 -9.6000E-01 -1.0000E+00  4.0032E+06  9.9836E-01  1.7927E-02 -5.4431E-02
 -9.4667E-01 -1.0000E+00  4.7286E+06  3.4383E-01 -8.5416E-01 -3.9012E-01
 -9.3333E-01 -1.0000E+00  4.7198E+06  9.0557E-01 -3.4151E-01  2.5161E-01
 -9.2000E-01 -1.0000E+00  3.3555E+06  3.6705E-01 -4.8809E-01 -7.9186E-01
 -9.0667E-01 -1.0000E+00  4.7612E+06  5.9449E-01 -7.5290E-01  2.8234E-01
 -8.9333E-01 -1.0000E+00  3.1186E+06  8.2989E-01 -1.0605E-02 -5.5783E-01
 -8.8000E-01 -1.0000E+00  3.6287E+06  1.1308E-01 -9.8962E-01 -8.8689E-02
 -8.6667E-01 -1.0000E+00  3.7130E+06  9.5235E-01 -2.7189E-01  1.3826E-01
 -8.5333E-01 -1.0000E+00  2.5290E+06  4.4841E-02 -5.1300E-01 -8.5722E-01
 -8.4000E-01 -1.0000E+00  3.4497E+06  4.0534E-01 -8.1745E-01  4.0923E-01
 -8.2667E-01 -1.0000E+00  2.8109E+06  8.7763E-01 -6.3663E-02 -4.7509E-01
 -8.1333E-01 -1.0000E+00  2.2261E+06 -4.7698E-01 -8.2738E-01 -2.9652E-01
 -8.0000E-01 -1.0000E+00  3.0763E+06  7.1408E-01 -5.7427E-01  4.0038E-01
 -7.8667E-01 -1.0000E+00  2.1843E+06  4.4539E-01 -2.7191E-02 -8.9492E-01
 -7.7333E-01 -1.0000E+00  2.0102E+06 -6.1520E-01 -7.3759E-01  2.7839E-01
 -7.6000E-01 -1.0000E+00  2.6652E+06  8.4153E-01 -4.8407E-01  2.3981E-01
 -7.4667E-01 -1.0000E+00  1.8531E+06  6.4837E-02  1.3184E-01 -9.8915E-01
 -7.3333E-01 -1.0000E+00  1.8409E+06 -6.9089E-01 -4.1555E-01  5.9160E-01
 -7.2000E-01 -1.0000E+00  2.2787E+06  8.2447E-01 -5.2703E-01  2.0613E-01
 -7.0667E-01 -1.0000E+00  1.7987E+06  5.6509E-02  3.6220E-01 -9.3039E-01
 -6.9333E-01 -1.0000E+00  1.8152E+06 -7.5844E-01  1.6244E-01  6.3118E-01
 -6.8000E-01 -1.0000E+00  1.9288E+06  6.4005E-01 -6.2079E-01  4.5272E-01
 -6.6667E-01 -1.0000E+00  1.8492E+06  3.7823E-01  3.4196E-01 -8.6024E-01
 -6.5333E-01 -1.0000E+00  2.1624E+06 -4.9677E-01  8.0979E-01  3.1218E-01
 -6.4000E-01 -1.0000E+00  1.8212E+06  1.6794E-01 -3.1085E-01  9.3550E-01
 -6.2667E-01 -1.0000E+00  1.5952E+06  7.1563E-01 -1.8394E-01 -6.7382E-01
 -6.1333E-01 -1.0000E+00  2.7197E+06  6.0374E-02  9.8145E-01 -1.8195E-01
 -6.0000E-01 -1.0000E+00  2.7298E+06  6.6973E-03  6.2378E-01  7.8157E-01
 -5.8667E-01 -1.0000E+00  1.2729E+06  4.5948E-01 -7.2543E-01  5.1247E-01
 -5.7333E-01 -1.0000E+00  2.1106E+06  5.2480E-01  5.2048E-01 -6.7356E-01
 -5.6000E-01 -1.0000E+00  4.3608E+06  3.6414E-01  9.1977E-01  1.4635E-01
 -5.4667E-01 -1.0000E+00  3.3591E+06  3.1544E-01  5.8486E-01  7.4728E-01
 -5.3333E-01 -1.0000E+00  9.2751E+05  2.6431E-01 -8.5563E-01  4.4502E-01
 -5.2000E-01 -1.0000E+00  2.5744E+06  6.2412E-01  5.6355E-01 -5.4119E-01
 -5.0667E-01 -1.0000E+00  6.3033E+06  6.2050E-01  7.7783E-01  9.9821E-02
 -4.9333E-01 -1.0000E+00  5.6213E+06  5.7234E-01  6.4293E-01  5.0898E-01
 -4.8000E-01 -1.0000E+00  1.5242E+06  2.5043E-01 -5.8512E-03  9.6812E-01
 -4.6667E-01 -1.0000E+00  1.3419E+06  5.2100E-01  1.3742E-01 -8.4242E-01
 -4.5333E-01 -1.0000E+00  6.5219E+06  7.7848E-01  6.1736E-01 -1.1328E-01
 -4.4000E-01 -1.0000E+00  1.0001E+07  7.7825E-01  5.9168E-01  2.1035E-01
 -4.2667E-01 -1.0000E+00  6.8498E+06  7.1256E-01  5.0134E-01  4.9082E-01
 -4.1333E-01 -1.0000E+00  1.4452E+06  2.0051E-01  1.3457E-01  9.7041E-01
 -4.0000E-01 -1.0000E+00  1.3970E+06  4.7344E-01  2.6841E-01 -8.3894E-01
 -3.8667E-01 -1.0000E+00  7.6834E+06  8.7011E-01  4.6740E-01 -1.5634E-01
 -3.7333E-01 -1.0000E+00  1.3753E+07  8.9039E-01  4.4466E-01  9.7386E-02
 -3.6000E-01 -1.0000E+00  1.3366E+07  8.6833E-01  4.0984E-01  2.7934E-01
 -3.4667E-01 -1.0000E+00  7.1555E+06  7.7391E-01  3.7561E-01  5.0988E-01
 -3.3333E-01 -1.0000E+00  1.3830E+06  9.3248E-02  3.8326E-01  9.1892E-01
 -3.2000E-01 -1.0000E+00  1.5980E+06  4.3562E-01  4.3850E-01 -7.8610E-01
 -3.0667E-01 -1.0000E+00  8.0041E+06  9.1167E-01  3.3498E-01 -2.3800E-01
 -2.9333E-01 -1.0000E+00  1.6034E+07  9.5543E-01  2.9475E-01 -1.6910E-02
 -2.8000E-01 -1.0000E+00  2.0409E+07  9.5595E-01  2.6786E-01  1.2003E-01
 -2.6667E-01 -1.0000E+00  1.8800E+07  9.3725E-01  2.5116E-01  2.4182E-01
 -2.5333E-01 -1.0000E+00  1.2715E+07  8.8664E-01  2.5458E-01  3.8607E-01
