         151         151         302   987.049500      WAVE
 -1.0000E+00 -1.0000E+00  6.9058E+06  5.4085E-01 -8.2033E-01 -1.8584E-01
 -9.8667E-01 -1.0000E+00  4.3493E+06  9.9385E-01 -6.8819E-02  8.6799E-02
 -9.7333E-01 -1.0000E+00  5.1783E+06  4.1993E-01 -7.9063E-01 -4.4560E-01
 -9.6000E-01 -1.0000E+00  5.1496E+06  8.8111E-01 -3.9806E-01  2.5532E-01
 -9.4667E-01 -1.0000E+00  3.6284E+06  4.3529E-01 -4.9116E-01 -7.5451E-01
 -9.3333E-01 -1.0000E+00  5.3784E+06  6.3540E-01 -7.3514E-01  2.3630E-01
 -9.2000E-01 -1.0000E+00  3.0855E+06  7.9812E-01 -3.6139E-02 -6.0142E-01
 -9.0667E-01 -1.0000E+00  4.4295E+06  2.7256E-01 -9.6133E-01 -3.9515E-02
 -8.9333E-01 -1.0000E+00  3.6323E+06  9.8067E-01 -1.9092E-01  4.2864E-02
 -8.8000E-01 -1.0000E+00  2.9749E+06  4.1575E-02 -7.4022E-01 -6.7108E-01
 -8.6667E-01 -1.0000E+00  3.9285E+06  6.0939E-01 -7.0490E-01  3.6298E-01
 -8.5333E-01 -1.0000E+00  2.5883E+06  6.7525E-01 -9.0737E-02 -7.3198E-01
 -8.4000E-01 -1.0000E+00  2.9316E+06 -1.4892E-01 -9.8835E-01  3.1529E-02
 -8.2667E-01 -1.0000E+00  3.1355E+06  9.1182E-01 -3.8063E-01  1.5396E-01
 -8.1333E-01 -1.0000E+00  2.0724E+06 -1.0381E-01 -3.1228E-01 -9.4430E-01
 -8.0000E-01 -1.0000E+00  2.6796E+06  7.4919E-03 -8.7251E-01  4.8854E-01
 -7.8667E-01 -1.0000E+00  2.5102E+06  9.3703E-01 -2.3245E-01 -2.6065E-01
 -7.7333E-01 -1.0000E+00  1.7874E+06 -7.1470E-01 -2.5814E-01 -6.5006E-01
 -7.6000E-01 -1.0000E+00  2.3563E+06  1.2910E-01 -7.2964E-01  6.7154E-01
 -7.4667E-01 -1.0000E+00  2.0963E+06  8.2918E-01 -1.7749E-01 -5.3005E-01
 -7.3333E-01 -1.0000E+00  1.7006E+06 -9.2091E-01  1.6116E-01 -3.5489E-01
 -7.2000E-01 -1.0000E+00  2.0513E+06  3.7019E-02 -5.7957E-01  8.1408E-01
 -7.0667E-01 -1.0000E+00  1.8375E+06  7.9572E-01 -2.2021E-01 -5.6422E-01
 -6.9333E-01 -1.0000E+00  1.8534E+06 -6.6946E-01  6.7487E-01 -3.1044E-01
 -6.8000E-01 -1.0000E+00  1.9452E+06 -2.5162E-01 -1.5834E-01  9.5478E-01
 -6.6667E-01 -1.0000E+00  1.5647E+06  8.0656E-01 -5.0771E-01 -3.0281E-01
 -6.5333E-01 -1.0000E+00  2.1383E+06 -1.1791E-01  8.6813E-01 -4.8213E-01
 -6.4000E-01 -1.0000E+00  2.4499E+06 -2.9477E-01  6.0303E-01  7.4126E-01
 -6.2667E-01 -1.0000E+00  1.3658E+06  4.4043E-01 -6.9214E-01  5.7180E-01
 -6.1333E-01 -1.0000E+00  1.8866E+06  4.0933E-01  5.2364E-01 -7.4716E-01
 -6.0000E-01 -1.0000E+00  3.6045E+06  1.0414E-01  9.7289E-01  2.0648E-01
 -5.8667E-01 -1.0000E+00  2.5135E+06  1.1038E-01  4.2514E-01  8.9837E-01
 -5.7333E-01 -1.0000E+00  9.0399E+05  4.6280E-01 -8.4376E-01 -2.7183E-01
 -5.6000E-01 -1.0000E+00  3.1840E+06  4.8359E-01  8.0243E-01 -3.4963E-01
 -5.4667E-01 -1.0000E+00  5.5032E+06  4.3407E-01  8.5054E-01  2.9691E-01
 -5.3333E-01 -1.0000E+00  3.0723E+06  3.4027E-01  4.9956E-01  7.9665E-01
 -5.2000E-01 -1.0000E+00  6.3427E+05  5.0062E-02 -9.4742E-01 -3.1605E-01
 -5.0667E-01 -1.0000E+00  3.8458E+06  6.5581E-01  6.8839E-01 -3.0989E-01
 -4.9333E-01 -1.0000E+00  8.0714E+06  6.6718E-01  7.2511E-01  1.7055E-01
 -4.8000E-01 -1.0000E+00  6.1908E+06  6.0998E-01  6.1130E-01  5.0422E-01
 -4.6667E-01 -1.0000E+00  1.2267E+06  9.5269E-02  5.2374E-02  9.9407E-01
 -4.5333E-01 -1.0000E+00  1.7505E+06  5.8159E-01  3.9836E-01 -7.0926E-01
 -4.4000E-01 -1.0000E+00  8.2552E+06  8.0806E-01  5.8613E-01 -5.9115E-02
 -4.2667E-01 -1.0000E+00  1.2248E+07  8.0902E-01  5.5256E-01  2.0043E-01
 -4.1333E-01 -1.0000E+00  8.4537E+06  7.5193E-01  4.9717E-01  4.3292E-01
 -4.0000E-01 -1.0000E+00  1.9158E+06  3.2682E-01  3.7219E-01  8.6871E-01
 -3.8667E-01 -1.0000E+00  1.2520E+06  3.5220E-01  4.1976E-01 -8.3651E-01
 -3.7333E-01 -1.0000E+00  8.1702E+06  8.7967E-01  4.4527E-01 -1.6706E-01
 -3.6000E-01 -1.0000E+00  1.5979E+07  9.0827E-01  4.1328E-01  6.5080E-02
 -3.4667E-01 -1.0000E+00  1.7248E+07  8.9616E-01  3.8610E-01  2.1870E-01
 -3.3333E-01 -1.0000E+00  1.1142E+07  8.4150E-01  3.7327E-01  3.9058E-01
 -3.2000E-01 -1.0000E+00  3.4692E+06  5.7410E-01  4.4421E-01  6.8781E-01
 -3.0667E-01 -1.0000E+00  9.4757E+05 -1.7097E-01  8.5796E-01 -4.8444E-01
 -2.9333E-01 -1.0000E+00  5.8194E+06  8.6034E-01  3.6588E-01 -3.5488E-01
 -2.8000E-01 -1.0000E+00  1.4919E+07  9.5483E-01  2.8173E-01 -9.4486E-02
 -2.6667E-01 -1.0000E+00  2.2705E+07  9.6810E-01  2.4667E-01  4.3973E-02
 -2.5333E-01 -1.0000E+00  2.5107E+07  9.6258E-01  2.2655E-01  1.4871E-01
 -2.4000E-01 -1.0000E+00  2.1516E+07  9.4232E-01  2.2034E-01  2.5197E-01
 -2.2667E-01 -1.0000E+00  1.4334E+07  8.9411E-01  2.4232E-01  3.7662E-01
 -2.1333E-01 -1.0000E+00  7.1228E+06  7.6603E-01  3.5125E-01  5.3834E-01
 -2.0000E-01 -1.0000E+00  2.7669E+06  4.1055E-01  7.4754E-01  5.2215E-01
 -1.8667E-01 -1.0000E+00  2.5164E+06  4.3660E-01  8.2071E-01 -3.6853E-01
 -1.7333E-01 -1.0000E+00  6.0064E+06  8.1935E-01  3.6926E-01 -4.3855E-01
 -1.6000E-01 -1.0000E+00  1.1871E+07  9.3974E-01  1.9116E-01 -2.8345E-01
 -1.4667E-01 -1.0000E+00  1.8483E+07  9.7913E-01  1.1265E-01 -1.6917E-01
 -1.3333E-01 -1.0000E+00  2.4499E+07  9.9391E-01  6.7345E-02 -8.7205E-02
 -1.2000E-01 -1.0000E+00  2.9110E+07  9.9906E-01  3.6162E-02 -2.3870E-02
 -1.0667E-01 -1.0000E+00  3.2044E+07  9.9952E-01  1.2483E-02  2.8408E-02
 -9.3333E-02 -1.0000E+00  3.3427E+07  9.9727E-01 -6.4291E-03  7.3567E-02
 -8.0000E-02 -1.0000E+00  3.3607E+07  9.9329E-01 -2.1895E-02  1.1356E-01
 -6.6667E-02 -1.0000E+00  3.3003E+07  9.8820E-01 -3.4785E-02  1.4917E-01
 -5.3333E-02 -1.0000E+00  3.2003E+07  9.8252E-01 -4.5897E-02  1.8040E-01
 -4.0000E-02 -1.0000E+00  3.0914E+07  9.7676E-01 -5.6162E-02  2.0683E-01
 -2.6667E-02 -1.0000E+00  2.9951E+07  9.7142E-01 -6.6698E-02  2.2778E-01
 -1.3333E-02 -1.0000E+00  2.9244E+07  9.6695E-01 -7.8731E-02  2.4252E-01
  0.0000E+00 -1.0000E+00  2.8850E+07  9.6364E-01 -9.3421E-02  2.5035E-01
  1.3333E-02 -1.0000E+00  2.8771E+07  9.6162E-01 -1.1164E-01  2.5063E-01
  2.6667E-02 -1.0000E+00  2.8962E+07  9.6082E-01 -1.3381E-01  2.4272E-01
  4.0000E-02 -1.0000E+00  2.9334E+07  9.6096E-01 -1.5974E-01  2.2592E-01
  5.3333E-02 -1.0000E+00  2.9755E+07  9.6161E-01 -1.8859E-01  1.9935E-01
  6.6667E-02 -1.0000E+00  3.0053E+07  9.6226E-01 -2.1875E-01  1.6186E-01
