set_energy	fo_energy	fo_flux	fm_energy	fm_flux	bo_energy	bo_flux	max_energy_emittance	flux_emittance	power_all	power_sum
240	239.356232	5.72477734E+14	239.529999	5.55665790E+14	240.000000	3.23489790E+14	240.002243	9.40819203E+20	8.84844208	8.84844208
270	269.264191	5.66008977E+14	269.470001	5.49111065E+14	270.000000	3.18867767E+14	270.001892	1.03769452E+21	8.24172306	8.24172306
300	299.179047	5.58139422E+14	299.410004	5.41208124E+14	300.000000	3.12658620E+14	300.001373	1.12790816E+21	7.72359991	7.72359991
330	329.089325	5.48887459E+14	329.350006	5.31398486E+14	330.000000	3.06236268E+14	330.001923	1.21096699E+21	7.27334690	7.27334690
360	358.992920	5.37622263E+14	359.290009	5.19377644E+14	360.000000	2.99158397E+14	360.002045	1.28643086E+21	6.87647057	6.87647057
390	388.893860	5.24320112E+14	389.230011	5.05743841E+14	390.000000	2.91275387E+14	390.001251	1.35393714E+21	6.52247095	6.52247095
420	418.801056	5.09503716E+14	419.170013	4.91309630E+14	420.000000	2.83002878E+14	420.001190	1.41316328E+21	6.20352983	6.20352983
450	448.713928	4.93784974E+14	449.109985	4.76217216E+14	450.000000	2.74139844E+14	450.001343	1.46388000E+21	5.91368675	5.91368675
480	478.624756	4.77429739E+14	479.049988	4.60170816E+14	480.000000	2.64191374E+14	479.999298	1.50591238E+21	5.64829922	5.64829922
510	508.535767	4.60374759E+14	508.989990	4.43617978E+14	510.000000	2.54933270E+14	510.000824	1.53913543E+21	5.40371132	5.40371132
540	538.440796	4.42614130E+14	538.929993	4.26113034E+14	540.000000	2.44542234E+14	539.998779	1.56352918E+21	5.17696714	5.17696714
570	568.347107	4.24193821E+14	568.869995	4.08159332E+14	570.000000	2.34002871E+14	569.997009	1.57909404E+21	4.96566343	4.96566343
600	598.258362	4.05369315E+14	598.809998	3.90094431E+14	600.000000	2.23796754E+14	599.998230	1.58595739E+21	4.76781797	4.76781797
630	628.167603	3.86244027E+14	628.750000	3.71534804E+14	630.000000	2.12756037E+14	629.995789	1.58424194E+21	4.58177662	4.58177662
660	658.079041	3.66974723E+14	658.700012	3.52461726E+14	660.000000	2.02268264E+14	659.997375	1.57422115E+21	4.40614462	4.40614462
690	687.986267	3.47501408E+14	688.640015	3.33618598E+14	690.000000	1.91309151E+14	689.996033	1.55612019E+21	4.23973560	4.23973560
720	717.894226	3.27950751E+14	718.580017	3.14795333E+14	720.000000	1.80539101E+14	719.996216	1.53032456E+21	4.08152866	4.08152866
750	747.796936	3.08429554E+14	748.520020	2.95778896E+14	750.000000	1.69019512E+14	749.989441	1.49722141E+21	3.93063927	3.93063927
780	777.708191	2.89056500E+14	778.460022	2.77264013E+14	780.000000	1.58618947E+14	779.992065	1.45731023E+21	3.78629255	3.78629255
810	807.618164	2.69867878E+14	808.400024	2.58851723E+14	810.000000	1.48119983E+14	809.992798	1.41103364E+21	3.64780474	3.64780474
840	837.523254	2.50959100E+14	838.340027	2.40587123E+14	840.000000	1.37456125E+14	839.989746	1.35897582E+21	3.51456571	3.51456571
870	867.426392	2.32380430E+14	868.280029	2.22645669E+14	870.000000	1.26993610E+14	869.985901	1.30171030E+21	3.38602757	3.38602757
900	897.328003	2.14219866E+14	898.219971	2.05108378E+14	900.000000	1.16734107E+14	899.980652	1.23987250E+21	3.26169133	3.26169133
930	927.236267	1.96548407E+14	928.159973	1.88188371E+14	930.000000	1.07140316E+14	929.981384	1.17414099E+21	3.14109826	3.14109826
960	957.140198	1.79445680E+14	958.099976	1.71742086E+14	960.000000	9.76559800E+13	959.978333	1.10517927E+21	3.02382064	3.02382064
990	987.053467	1.62953140E+14	988.039978	1.56035994E+14	990.000000	8.89657009E+13	989.985107	1.03370327E+21	2.90946364	2.90946364
1020	1016.95056	1.47117511E+14	1017.97998	1.40726550E+14	1020.00000	7.99567386E+13	1019.97601	9.60381221E+20	2.79764652	2.79764652
1050	1046.85486	1.32006625E+14	1047.92004	1.26239298E+14	1050.00000	7.17075157E+13	1049.97534	8.85984992E+20	2.68800282	2.68800282
1080	1076.76416	1.17635212E+14	1077.85999	1.12519922E+14	1080.00000	6.40036068E+13	1079.97900	8.11183721E+20	2.58017683	2.58017683
1110	1106.66370	1.04058350E+14	1107.80005	9.94622738E+13	1110.00000	5.64364742E+13	1109.97205	7.36685598E+20	2.47381759	2.47381759
1140	1136.56604	9.13210543E+13	1137.73999	8.72512792E+13	1140.00000	4.94557683E+13	1139.96887	6.63204022E+20	2.36857510	2.36857510
1170	1166.46509	7.94445050E+13	1167.68005	7.58542898E+13	1170.00000	4.29183876E+13	1169.96375	5.91403625E+20	2.26409674	2.26409674
1200	1196.37793	6.84265004E+13	1197.62000	6.53711932E+13	1200.00000	3.70952383E+13	1199.97217	5.21889650E+20	2.16002274	2.16002274
1230	1226.28198	5.83054184E+13	1227.56006	5.56931513E+13	1230.00000	3.16069495E+13	1229.97278	4.55277542E+20	2.05598307	2.05598307
1260	1256.18262	4.90733652E+13	1257.50000	4.68546623E+13	1260.00000	2.65610949E+13	1259.96936	3.92101046E+20	1.95159340	1.95159340
1290	1286.07788	4.07309910E+13	1287.44995	3.88223520E+13	1290.00000	2.19558414E+13	1289.95911	3.32853871E+20	1.84645200	1.84645200
1320	1315.99438	3.32783524E+13	1317.39001	3.17479788E+13	1320.00000	1.80293961E+13	1319.97314	2.77980201E+20	1.74013543	1.74013543
1350	1345.88696	2.66954321E+13	1347.32996	2.54411402E+13	1350.00000	1.43960352E+13	1349.96082	2.27827236E+20	1.63219845	1.63219845
1380	1375.78931	2.09616718E+13	1377.27002	1.99724368E+13	1380.00000	1.12977280E+13	1379.95984	1.82687323E+20	1.52216506	1.52216506
1410	1405.67871	1.60479786E+13	1407.20996	1.52721372E+13	1410.00000	8.60273980E+12	1409.94543	1.42758109E+20	1.40952933	1.40952933
1440	1435.57617	1.19149198E+13	1437.15002	1.13324820E+13	1440.00000	6.37211351E+12	1439.93909	1.08146328E+20	1.29375112	1.29375112
1470	1465.48755	8.51910538E+12	1467.08997	8.10731438E+12	1470.00000	4.57067777E+12	1469.94922	7.88632192E+19	1.17425263	1.17425263
1500	1495.36694	5.80575927E+12	1497.03003	5.51514223E+12	1500.00000	3.08792105E+12	1499.92297	5.48064765E+19	1.05041575	1.05041575
1530	1525.26611	3.71838707E+12	1526.96997	3.53119397E+12	1530.00000	1.97529960E+12	1529.92053	3.57791947E+19	0.921579480	0.921579480
1560	1555.17627	2.18732901E+12	1556.91003	2.07804078E+12	1560.00000	1.16416381E+12	1559.92749	2.14497038E+19	0.787037492	0.787037492
1590	1585.06604	1.13752788E+12	1586.84998	1.07961083E+12	1590.00000	6.02131464E+11	1589.91101	1.13698298E+19	0.646036208	0.646036208
1620	1614.95154	4.87301644E+11	1616.79004	4.61854474E+11	1620.00000	2.55962546E+11	1619.88879	4.96505916E+18	0.497773498	0.497773498
1650	1644.82483	1.46517836E+11	1646.72998	1.38501767E+11	1650.00000	7.57647933E+10	1649.84070	1.52378760E+18	0.341398120	0.341398120
1680	1674.62329	1.86204140E+10	1676.67004	1.74243103E+10	1680.00000	9.09724774E+09	1679.66028	1.98563502E+17	0.176010057	0.176010057
1710	1697.80005	783335.125	1706.60999	722065.938	1710.00000	701405.438	1706.62073	1.67525614E+12	6.61845726E-04	6.61845726E-04
