set_energy	fo_energy	fo_flux	fm_energy	fm_flux	bo_energy	bo_flux	max_energy_emittance	flux_emittance	power_all	power_sum
400	399.371765	4.28335713E+14	399.529999	4.18433330E+14	400.000000	2.51514308E+14	400.009308	1.18597919E+21	23.4773197	23.4773197
450	449.291840	4.14109204E+14	449.470001	4.04559713E+14	450.000000	2.43006163E+14	450.010284	1.28760320E+21	21.8606586	21.8606586
500	499.211517	3.98753219E+14	499.410004	3.89541588E+14	500.000000	2.33775221E+14	500.011047	1.37526366E+21	20.4799595	20.4799595
550	549.132812	3.82425968E+14	549.349976	3.73722586E+14	550.000000	2.24607462E+14	550.013794	1.44844884E+21	19.2799797	19.2799797
600	599.053223	3.65248985E+14	599.289978	3.56991206E+14	600.000000	2.14648003E+14	600.015869	1.50686939E+21	18.2220974	18.2220974
650	648.972046	3.47421817E+14	649.229980	3.39511159E+14	650.000000	2.03925483E+14	650.016602	1.55044847E+21	17.2783318	17.2783318
700	698.891968	3.29066402E+14	699.169983	3.21593226E+14	700.000000	1.93218029E+14	700.018555	1.57932372E+21	16.4278603	16.4278603
750	748.812073	3.10367457E+14	749.109985	3.03341897E+14	750.000000	1.82350235E+14	750.021057	1.59381434E+21	15.6548071	15.6548071
800	798.728394	2.91480405E+14	799.049988	2.84729086E+14	800.000000	1.70707921E+14	800.019775	1.59442922E+21	14.9468079	14.9468079
850	848.650513	2.72511279E+14	848.989990	2.66306729E+14	850.000000	1.60035011E+14	850.024597	1.58186446E+21	14.2941217	14.2941217
900	898.566589	2.53637499E+14	898.929993	2.47745961E+14	900.000000	1.48527234E+14	900.023438	1.55693323E+21	13.6888752	13.6888752
950	948.482971	2.34948166E+14	948.869995	2.29414118E+14	950.000000	1.37287556E+14	950.022766	1.52061818E+21	13.1246634	13.1246634
1000	998.402832	2.16617414E+14	998.809998	2.11563361E+14	1000.00000	1.26787216E+14	1000.02692	1.47397834E+21	12.5962009	12.5962009
1050	1048.31702	1.98728422E+14	1048.75000	1.93983389E+14	1050.00000	1.15972069E+14	1050.02515	1.41819169E+21	12.0990744	12.0990744
1100	1098.23865	1.81423160E+14	1098.69995	1.76894620E+14	1100.00000	1.06031795E+14	1100.02991	1.35446688E+21	11.6295595	11.6295595
1150	1148.15637	1.64665556E+14	1148.64001	1.60548193E+14	1150.00000	9.61075101E+13	1150.02979	1.28413261E+21	11.1844797	11.1844797
1200	1198.07104	1.48658482E+14	1198.57996	1.44945785E+14	1200.00000	8.67650670E+13	1200.03210	1.20844835E+21	10.7611036	10.7611036
1250	1247.97998	1.33473247E+14	1248.52002	1.29956097E+14	1250.00000	7.73227240E+13	1250.02283	1.12871459E+21	10.3570538	10.3570538
1300	1297.89929	1.19068657E+14	1298.45996	1.16003443E+14	1300.00000	6.91535620E+13	1300.02905	1.04621990E+21	9.97024632	9.97024632
1350	1347.81763	1.05601124E+14	1348.40002	1.02853553E+14	1350.00000	6.13384622E+13	1350.03210	9.62225304E+20	9.59883404	9.59883404
1400	1397.72754	9.29745244E+13	1398.33997	9.05336072E+13	1400.00000	5.38420120E+13	1400.02869	8.77885268E+20	9.24116611	9.24116611
1450	1447.64014	8.13302725E+13	1448.28003	7.91193793E+13	1450.00000	4.69062648E+13	1450.02393	7.94323299E+20	8.89575195	8.89575195
1500	1497.54199	7.05817477E+13	1498.21997	6.86196397E+13	1500.00000	4.05189060E+13	1500.01660	7.12526882E+20	8.56123066	8.56123066
1550	1547.46521	6.07833922E+13	1548.16003	5.90960950E+13	1550.00000	3.49052307E+13	1550.01917	6.33422843E+20	8.23634911	8.23634911
