         151         151          66   1198.07104      WAVE
 -1.0000E+00 -1.0000E+00  2.2845E+06  5.4316E-01 -8.3145E-01 -1.1689E-01
 -9.8667E-01 -1.0000E+00  1.5078E+07  7.7445E-01 -6.3254E-01  1.0621E-02
 -9.7333E-01 -1.0000E+00  2.6089E+06  5.6341E-01 -7.6414E-01 -3.1410E-01
 -9.6000E-01 -1.0000E+00  1.1179E+07  7.0217E-01 -7.1021E-01  5.0677E-02
 -9.4667E-01 -1.0000E+00  3.6288E+06  5.6558E-01 -7.5850E-01 -3.2372E-01
 -9.3333E-01 -1.0000E+00  8.0683E+06  6.1485E-01 -7.8297E-01  9.4450E-02
 -9.2000E-01 -1.0000E+00  3.9688E+06  4.9189E-01 -7.9877E-01 -3.4644E-01
 -9.0667E-01 -1.0000E+00  6.2258E+06  5.1570E-01 -8.4686E-01  1.2990E-01
 -8.9333E-01 -1.0000E+00  3.5010E+06  3.5938E-01 -8.3405E-01 -4.1858E-01
 -8.8000E-01 -1.0000E+00  5.4087E+06  4.0590E-01 -9.0408E-01  1.3374E-01
 -8.6667E-01 -1.0000E+00  2.5083E+06  1.5178E-01 -8.1192E-01 -5.6369E-01
 -8.5333E-01 -1.0000E+00  5.2142E+06  2.7217E-01 -9.5875E-01  8.1983E-02
 -8.4000E-01 -1.0000E+00  1.3747E+06 -1.7796E-01 -5.7541E-01 -7.9827E-01
 -8.2667E-01 -1.0000E+00  5.1872E+06  8.9098E-02 -9.9513E-01 -4.2128E-02
 -8.1333E-01 -1.0000E+00  5.6527E+05 -5.8975E-01  3.8317E-01 -7.1089E-01
 -8.0000E-01 -1.0000E+00  4.8283E+06 -1.5779E-01 -9.5419E-01 -2.5421E-01
 -7.8667E-01 -1.0000E+00  5.3562E+05 -2.4663E-01  3.2438E-01  9.1321E-01
 -7.7333E-01 -1.0000E+00  3.7872E+06 -4.2541E-01 -7.1013E-01 -5.6101E-01
 -7.6000E-01 -1.0000E+00  1.4326E+06 -4.2091E-01 -7.2469E-01  5.4558E-01
 -7.4667E-01 -1.0000E+00  2.1985E+06 -4.9688E-01 -6.3195E-02 -8.6551E-01
 -7.3333E-01 -1.0000E+00  2.8203E+06 -7.7823E-01 -6.0918E-01 -1.5251E-01
 -7.2000E-01 -1.0000E+00  8.2017E+05  1.5443E-01  9.3418E-01 -3.2165E-01
 -7.0667E-01 -1.0000E+00  3.6627E+06 -7.7697E-01 -3.9083E-03 -6.2953E-01
 -6.9333E-01 -1.0000E+00  9.6477E+05 -7.5888E-01 -8.2487E-02  6.4599E-01
 -6.8000E-01 -1.0000E+00  2.6177E+06 -2.4477E-01  6.3425E-01 -7.3336E-01
 -6.6667E-01 -1.0000E+00  3.4123E+06 -8.1379E-01  4.0015E-01 -4.2145E-01
 -6.5333E-01 -1.0000E+00  6.4401E+05  4.3413E-01  6.9896E-01  5.6833E-01
 -6.4000E-01 -1.0000E+00  4.5686E+06 -1.8898E-01  7.8130E-01 -5.9485E-01
 -6.2667E-01 -1.0000E+00  3.1984E+06 -5.6174E-01  7.7695E-01 -2.8425E-01
 -6.1333E-01 -1.0000E+00  1.0076E+06  6.7151E-01  7.4055E-01 -2.5643E-02
 -6.0000E-01 -1.0000E+00  6.5941E+06  6.7015E-02  8.8462E-01 -4.6148E-01
 -5.8667E-01 -1.0000E+00  4.1354E+06 -1.5032E-01  9.5432E-01 -2.5823E-01
 -5.7333E-01 -1.0000E+00  9.7048E+05  7.6375E-01  6.4545E-01  9.0526E-03
 -5.6000E-01 -1.0000E+00  8.5574E+06  3.4283E-01  8.6628E-01 -3.6335E-01
 -5.4667E-01 -1.0000E+00  7.5847E+06  2.4041E-01  9.3407E-01 -2.6404E-01
