         151         151          40   850.000000      WAVE
 -1.0000E+00 -1.0000E+00  1.5795E+07  6.3372E-01 -7.6934E-01 -8.0646E-02
 -9.8667E-01 -1.0000E+00  8.5542E+06  8.9219E-01 -3.9384E-01  2.2109E-01
 -9.7333E-01 -1.0000E+00  4.0855E+06  9.9993E-02 -8.3700E-01 -5.3799E-01
 -9.6000E-01 -1.0000E+00  1.5533E+07  6.6074E-01 -7.5034E-01  2.0255E-02
 -9.4667E-01 -1.0000E+00  2.4577E+06  9.1079E-01  3.2361E-01  2.5639E-01
 -9.3333E-01 -1.0000E+00  8.3805E+06  2.1770E-01 -9.1445E-01 -3.4116E-01
 -9.2000E-01 -1.0000E+00  1.0956E+07  6.8150E-01 -7.2223E-01  1.1806E-01
 -9.0667E-01 -1.0000E+00  1.6164E+06  2.0730E-01  8.1778E-01 -5.3690E-01
 -8.9333E-01 -1.0000E+00  9.2412E+06  1.2377E-01 -9.4382E-01 -3.0641E-01
 -8.8000E-01 -1.0000E+00  7.4631E+06  6.9521E-01 -6.8989E-01  2.0182E-01
 -8.6667E-01 -1.0000E+00  2.2619E+06 -9.0954E-02  5.9577E-01 -7.9798E-01
 -8.5333E-01 -1.0000E+00  8.1188E+06 -1.0745E-01 -9.2312E-01 -3.6918E-01
 -8.4000E-01 -1.0000E+00  5.7109E+06  6.4010E-01 -7.2966E-01  2.4058E-01
 -8.2667E-01 -1.0000E+00  2.8890E+06  5.3035E-02  7.1634E-01 -6.9573E-01
 -8.1333E-01 -1.0000E+00  6.7350E+06 -4.6317E-01 -6.9491E-01 -5.5006E-01
 -8.0000E-01 -1.0000E+00  4.8114E+06  3.7106E-01 -9.0792E-01  1.9494E-01
 -7.8667E-01 -1.0000E+00  3.3787E+06  4.8548E-01  7.7928E-01 -3.9628E-01
 -7.7333E-01 -1.0000E+00  6.2080E+06 -6.5173E-01 -2.6239E-02 -7.5799E-01
 -7.6000E-01 -1.0000E+00  4.3183E+06 -3.3826E-01 -9.3653E-01 -9.2152E-02
 -7.4667E-01 -1.0000E+00  3.2346E+06  9.2962E-01  3.6679E-01  3.5631E-02
 -7.3333E-01 -1.0000E+00  6.9402E+06 -2.1325E-01  6.8635E-01 -6.9530E-01
 -7.2000E-01 -1.0000E+00  5.5507E+06 -8.1212E-01  1.5036E-02 -5.8330E-01
 -7.0667E-01 -1.0000E+00  2.0393E+06  4.1118E-01 -8.1512E-01  4.0806E-01
 -6.9333E-01 -1.0000E+00  6.5040E+06  4.9780E-01  7.7904E-01 -3.8116E-01
 -6.8000E-01 -1.0000E+00  1.0136E+07 -1.5560E-01  7.9819E-01 -5.8197E-01
 -6.6667E-01 -1.0000E+00  4.2554E+06 -7.8218E-01  3.9427E-01 -4.8243E-01
 -6.5333E-01 -1.0000E+00  1.9088E+06  9.3526E-01 -2.2043E-01  2.7693E-01
 -6.4000E-01 -1.0000E+00  1.0833E+07  5.0819E-01  7.8502E-01 -3.5424E-01
 -6.2667E-01 -1.0000E+00  1.5000E+07  1.7132E-01  8.8298E-01 -4.3704E-01
 -6.1333E-01 -1.0000E+00  5.8243E+06 -2.6742E-01  8.6224E-01 -4.3016E-01
 -6.0000E-01 -1.0000E+00  1.1369E+06  8.3091E-01 -4.4004E-01  3.4053E-01
 -5.8667E-01 -1.0000E+00  1.2980E+07  6.7638E-01  6.8700E-01 -2.6559E-01
 -5.7333E-01 -1.0000E+00  2.3822E+07  5.0116E-01  8.0680E-01 -3.1291E-01
 -5.6000E-01 -1.0000E+00  1.5607E+07  3.6151E-01  8.7569E-01 -3.2012E-01
 -5.4667E-01 -1.0000E+00  1.5013E+06 -3.4524E-01  9.1094E-01 -2.2581E-01
 -5.3333E-01 -1.0000E+00  6.3569E+06  8.7473E-01  4.5246E-01 -1.7357E-01
 -5.2000E-01 -1.0000E+00  2.7509E+07  7.2222E-01  6.5190E-01 -2.3115E-01
 -5.0667E-01 -1.0000E+00  3.7184E+07  6.7538E-01  7.0002E-01 -2.3203E-01
 -4.9333E-01 -1.0000E+00  2.2026E+07  6.3314E-01  7.4099E-01 -2.2376E-01
 -4.8000E-01 -1.0000E+00  2.3349E+06  3.6909E-01  9.0992E-01 -1.8926E-01
 -4.6667E-01 -1.0000E+00  5.9244E+06  8.9913E-01  3.9239E-01 -1.9387E-01
 -4.5333E-01 -1.0000E+00  3.3073E+07  8.2444E-01  5.3194E-01 -1.9322E-01
 -4.4000E-01 -1.0000E+00  5.6135E+07  8.1366E-01  5.5201E-01 -1.8235E-01
 -4.2667E-01 -1.0000E+00  5.1190E+07  8.1431E-01  5.5556E-01 -1.6809E-01
 -4.1333E-01 -1.0000E+00  2.3597E+07  8.1250E-01  5.6467E-01 -1.4487E-01
 -4.0000E-01 -1.0000E+00  1.5386E+06  7.1010E-01  7.0303E-01 -3.8886E-02
 -3.8667E-01 -1.0000E+00  8.0902E+06  8.9353E-01  3.8451E-01 -2.3184E-01
 -3.7333E-01 -1.0000E+00  4.0884E+07  8.8887E-01  4.2093E-01 -1.8089E-01
 -3.6000E-01 -1.0000E+00  7.5963E+07  8.9588E-01  4.1456E-01 -1.5983E-01
 -3.4667E-01 -1.0000E+00  8.8454E+07  9.0572E-01  3.9938E-01 -1.4203E-01
 -3.3333E-01 -1.0000E+00  7.0876E+07  9.1696E-01  3.8023E-01 -1.2087E-01
 -3.2000E-01 -1.0000E+00  3.6266E+07  9.2985E-01  3.5788E-01 -8.5478E-02
 -3.0667E-01 -1.0000E+00  7.2758E+06  9.4203E-01  3.3433E-01  2.8317E-02
 -2.9333E-01 -1.0000E+00  1.4626E+06  7.2770E-01  5.1608E-01 -4.5178E-01
 -2.8000E-01 -1.0000E+00  2.2504E+07  9.1267E-01  3.3611E-01 -2.3253E-01
 -2.6667E-01 -1.0000E+00  6.0709E+07  9.3555E-01  3.0080E-01 -1.8512E-01
 -2.5333E-01 -1.0000E+00  1.0001E+08  9.4839E-01  2.7365E-01 -1.6024E-01
 -2.4000E-01 -1.0000E+00  1.2611E+08  9.5844E-01  2.4792E-01 -1.4117E-01
 -2.2667E-01 -1.0000E+00  1.3174E+08  9.6731E-01  2.2186E-01 -1.2286E-01
 -2.1333E-01 -1.0000E+00  1.1766E+08  9.7559E-01  1.9439E-01 -1.0215E-01
 -2.0000E-01 -1.0000E+00  9.0411E+07  9.8353E-01  1.6434E-01 -7.5223E-02
 -1.8667E-01 -1.0000E+00  5.8757E+07  9.9090E-01  1.2999E-01 -3.4824E-02
 -1.7333E-01 -1.0000E+00  3.0590E+07  9.9527E-01  8.9461E-02  3.7753E-02
 -1.6000E-01 -1.0000E+00  1.1101E+07  9.7670E-01  5.4420E-02  2.0760E-01
 -1.4667E-01 -1.0000E+00  2.3395E+06  6.9656E-01  3.6507E-01  6.1768E-01
 -1.3333E-01 -1.0000E+00  3.7493E+06  6.5030E-01  7.0960E-01 -2.7125E-01
 -1.2000E-01 -1.0000E+00  1.3140E+07  8.5458E-01  3.8957E-01 -3.4342E-01
 -1.0667E-01 -1.0000E+00  2.7667E+07  9.1268E-01  2.7051E-01 -3.0633E-01
 -9.3333E-02 -1.0000E+00  4.4568E+07  9.3742E-01  2.0806E-01 -2.7919E-01
 -8.0000E-02 -1.0000E+00  6.1593E+07  9.5074E-01  1.6666E-01 -2.6139E-01
 -6.6667E-02 -1.0000E+00  7.7153E+07  9.5879E-01  1.3541E-01 -2.4979E-01
 -5.3333E-02 -1.0000E+00  9.0289E+07  9.6387E-01  1.1013E-01 -2.4254E-01
 -4.0000E-02 -1.0000E+00  1.0053E+08  9.6701E-01  8.8969E-02 -2.3868E-01
 -2.6667E-02 -1.0000E+00  1.0774E+08  9.6872E-01  7.1125E-02 -2.3773E-01
 -1.3333E-02 -1.0000E+00  1.1196E+08  9.6927E-01  5.6336E-02 -2.3948E-01
  0.0000E+00 -1.0000E+00  1.1328E+08  9.6877E-01  4.4681E-02 -2.4389E-01
  1.3333E-02 -1.0000E+00  1.1179E+08  9.6729E-01  3.6552E-02 -2.5104E-01
  2.6667E-02 -1.0000E+00  1.0756E+08  9.6477E-01  3.2678E-02 -2.6106E-01
  4.0000E-02 -1.0000E+00  1.0064E+08  9.6110E-01  3.4249E-02 -2.7407E-01
  5.3333E-02 -1.0000E+00  9.1097E+07  9.5602E-01  4.3180E-02 -2.9011E-01
  6.6667E-02 -1.0000E+00  7.9160E+07  9.4903E-01  6.2603E-02 -3.0889E-01
  8.0000E-02 -1.0000E+00  6.5296E+07  9.3922E-01  9.7842E-02 -3.2909E-01
  9.3333E-02 -1.0000E+00  5.0336E+07  9.2469E-01  1.5823E-01 -3.4628E-01
  1.0667E-01 -1.0000E+00  3.5572E+07  9.0153E-01  2.5992E-01 -3.4597E-01
  1.2000E-01 -1.0000E+00  2.2761E+07  8.6183E-01  4.2300E-01 -2.7987E-01
  1.3333E-01 -1.0000E+00  1.3994E+07  7.9965E-01  6.0033E-01 -1.2947E-02
  1.4667E-01 -1.0000E+00  1.1376E+07  7.7011E-01  4.3086E-01  4.7041E-01
  1.6000E-01 -1.0000E+00  1.6499E+07  8.3360E-01 -7.5528E-02  5.4718E-01
