         151         151          39   848.989990      WAVE
 -1.0000E+00 -1.0000E+00  2.3373E+06  9.1848E-01  2.6484E-01  2.9368E-01
 -9.8667E-01 -1.0000E+00  1.1705E+07  5.0738E-01 -8.4335E-01 -1.7697E-01
 -9.7333E-01 -1.0000E+00  1.2355E+07  8.1582E-01 -5.6145E-01  1.3861E-01
 -9.6000E-01 -1.0000E+00  1.5775E+06 -3.4165E-01 -1.8747E-01 -9.2094E-01
 -9.4667E-01 -1.0000E+00  1.4385E+07  5.2495E-01 -8.4710E-01 -8.2722E-02
 -9.3333E-01 -1.0000E+00  5.6733E+06  9.1587E-01 -3.0541E-01  2.6059E-01
 -9.2000E-01 -1.0000E+00  4.3477E+06 -1.4133E-01 -7.4680E-01 -6.4985E-01
 -9.0667E-01 -1.0000E+00  1.2234E+07  4.8664E-01 -8.7325E-01 -2.4625E-02
 -8.9333E-01 -1.0000E+00  3.0821E+06  9.6066E-01  1.5649E-01  2.2945E-01
 -8.8000E-01 -1.0000E+00  5.6888E+06 -2.3922E-01 -7.5025E-01 -6.1635E-01
 -8.6667E-01 -1.0000E+00  9.4234E+06  3.8321E-01 -9.2366E-01 -2.5079E-03
 -8.5333E-01 -1.0000E+00  2.7025E+06  9.0745E-01  4.1147E-01  8.5000E-02
 -8.4000E-01 -1.0000E+00  5.5574E+06 -4.6709E-01 -5.1954E-01 -7.1548E-01
 -8.2667E-01 -1.0000E+00  7.3511E+06  1.3239E-01 -9.8939E-01 -5.9906E-02
 -8.1333E-01 -1.0000E+00  2.9796E+06  9.5085E-01  2.8623E-01  1.1816E-01
 -8.0000E-01 -1.0000E+00  5.1908E+06 -5.6490E-01  5.5655E-02 -8.2328E-01
 -7.8667E-01 -1.0000E+00  6.0885E+06 -3.6868E-01 -8.8572E-01 -2.8207E-01
 -7.7333E-01 -1.0000E+00  3.0712E+06  9.3378E-01 -2.2350E-01  2.7946E-01
 -7.6000E-01 -1.0000E+00  5.3280E+06 -1.6184E-01  6.8916E-01 -7.0630E-01
 -7.4667E-01 -1.0000E+00  6.2447E+06 -7.6877E-01 -1.4810E-01 -6.2214E-01
 -7.3333E-01 -1.0000E+00  2.6925E+06  1.3288E-01 -9.6556E-01  2.2369E-01
 -7.2000E-01 -1.0000E+00  4.8967E+06  5.5013E-01  7.6110E-01 -3.4363E-01
 -7.0667E-01 -1.0000E+00  8.6755E+06 -3.1648E-01  6.9865E-01 -6.4166E-01
 -6.9333E-01 -1.0000E+00  4.3902E+06 -8.6589E-01  6.5813E-02 -4.9589E-01
 -6.8000E-01 -1.0000E+00  2.0629E+06  9.2607E-01 -2.7374E-01  2.5974E-01
 -6.6667E-01 -1.0000E+00  9.3490E+06  3.9317E-01  8.2821E-01 -3.9937E-01
 -6.5333E-01 -1.0000E+00  1.2081E+07 -5.9206E-02  8.6213E-01 -5.0322E-01
 -6.4000E-01 -1.0000E+00  3.9383E+06 -6.6003E-01  5.9204E-01 -4.6245E-01
 -6.2667E-01 -1.0000E+00  2.1417E+06  9.9554E-01  1.1544E-02  9.3631E-02
 -6.1333E-01 -1.0000E+00  1.3679E+07  5.4468E-01  7.7906E-01 -3.1047E-01
 -6.0000E-01 -1.0000E+00  1.9243E+07  3.2068E-01  8.7472E-01 -3.6334E-01
 -5.8667E-01 -1.0000E+00  8.3576E+06  4.6916E-02  9.2173E-01 -3.8499E-01
 -5.7333E-01 -1.0000E+00  5.6117E+05  3.0158E-01 -8.9351E-01  3.3269E-01
 -5.6000E-01 -1.0000E+00  1.2805E+07  7.3941E-01  6.3581E-01 -2.2142E-01
 -5.4667E-01 -1.0000E+00  2.9337E+07  6.0966E-01  7.4956E-01 -2.5783E-01
 -5.3333E-01 -1.0000E+00  2.5392E+07  5.3968E-01  7.9907E-01 -2.6502E-01
 -5.2000E-01 -1.0000E+00  6.4313E+06  3.6207E-01  8.8919E-01 -2.7973E-01
 -5.0667E-01 -1.0000E+00  1.6783E+06  9.8674E-01  1.1495E-01 -1.1458E-01
 -4.9333E-01 -1.0000E+00  2.2452E+07  7.9156E-01  5.7889E-01 -1.9576E-01
 -4.8000E-01 -1.0000E+00  4.5607E+07  7.5516E-01  6.2520E-01 -1.9713E-01
 -4.6667E-01 -1.0000E+00  4.3347E+07  7.4343E-01  6.4096E-01 -1.9100E-01
 -4.5333E-01 -1.0000E+00  1.8267E+07  7.2158E-01  6.6800E-01 -1.8190E-01
 -4.4000E-01 -1.0000E+00  3.6078E+05  1.2290E-01  9.4443E-01 -3.0488E-01
 -4.2667E-01 -1.0000E+00  1.2773E+07  8.7406E-01  4.4749E-01 -1.8915E-01
 -4.1333E-01 -1.0000E+00  4.7138E+07  8.5588E-01  4.8851E-01 -1.6977E-01
 -4.0000E-01 -1.0000E+00  7.3086E+07  8.5928E-01  4.8685E-01 -1.5691E-01
 -3.8667E-01 -1.0000E+00  6.8145E+07  8.6772E-01  4.7614E-01 -1.4266E-01
 -3.7333E-01 -1.0000E+00  3.7351E+07  8.7736E-01  4.6436E-01 -1.2089E-01
 -3.6000E-01 -1.0000E+00  7.0399E+06  8.8003E-01  4.7149E-01 -5.6938E-02
 -3.4667E-01 -1.0000E+00  2.3671E+06  8.5343E-01  4.0806E-01 -3.2425E-01
 -3.3333E-01 -1.0000E+00  2.9006E+07  9.0497E-01  3.8159E-01 -1.8818E-01
 -3.2000E-01 -1.0000E+00  7.1460E+07  9.1823E-01  3.6274E-01 -1.5896E-01
 -3.0667E-01 -1.0000E+00  1.0556E+08  9.2938E-01  3.4126E-01 -1.4069E-01
 -2.9333E-01 -1.0000E+00  1.1389E+08  9.4007E-01  3.1780E-01 -1.2359E-01
 -2.8000E-01 -1.0000E+00  9.4231E+07  9.5089E-01  2.9193E-01 -1.0291E-01
 -2.6667E-01 -1.0000E+00  5.8072E+07  9.6245E-01  2.6202E-01 -7.0896E-02
 -2.5333E-01 -1.0000E+00  2.2752E+07  9.7441E-01  2.2479E-01 -4.1079E-04
 -2.4000E-01 -1.0000E+00  2.8580E+06  9.1064E-01  2.6146E-01  3.1997E-01
 -2.2667E-01 -1.0000E+00  5.0720E+06  8.0820E-01  4.9707E-01 -3.1581E-01
 -2.1333E-01 -1.0000E+00  2.7576E+07  9.2143E-01  3.0647E-01 -2.3885E-01
 -2.0000E-01 -1.0000E+00  6.2758E+07  9.4798E-01  2.4881E-01 -1.9857E-01
 -1.8667E-01 -1.0000E+00  1.0107E+08  9.6141E-01  2.1228E-01 -1.7501E-01
 -1.7333E-01 -1.0000E+00  1.3426E+08  9.7048E-01  1.8234E-01 -1.5787E-01
 -1.6000E-01 -1.0000E+00  1.5719E+08  9.7744E-01  1.5507E-01 -1.4341E-01
 -1.4667E-01 -1.0000E+00  1.6810E+08  9.8311E-01  1.2894E-01 -1.2986E-01
 -1.3333E-01 -1.0000E+00  1.6792E+08  9.8784E-01  1.0323E-01 -1.1622E-01
 -1.2000E-01 -1.0000E+00  1.5923E+08  9.9178E-01  7.7569E-02 -1.0178E-01
 -1.0667E-01 -1.0000E+00  1.4518E+08  9.9495E-01  5.1788E-02 -8.6024E-02
 -9.3333E-02 -1.0000E+00  1.2869E+08  9.9731E-01  2.5887E-02 -6.8567E-02
 -8.0000E-02 -1.0000E+00  1.1211E+08  9.9879E-01  3.1285E-05 -4.9230E-02
 -6.6667E-02 -1.0000E+00  9.7013E+07  9.9928E-01 -2.5450E-02 -2.8155E-02
 -5.3333E-02 -1.0000E+00  8.4326E+07  9.9873E-01 -5.0098E-02 -5.9518E-03
 -4.0000E-02 -1.0000E+00  7.4445E+07  9.9717E-01 -7.3427E-02  1.6166E-02
 -2.6667E-02 -1.0000E+00  6.7440E+07  9.9480E-01 -9.5082E-02  3.6384E-02
 -1.3333E-02 -1.0000E+00  6.3219E+07  9.9198E-01 -1.1498E-01  5.2528E-02
  0.0000E+00 -1.0000E+00  6.1645E+07  9.8910E-01 -1.3330E-01  6.2526E-02
  1.3333E-02 -1.0000E+00  6.2613E+07  9.8650E-01 -1.5032E-01  6.4916E-02
  2.6667E-02 -1.0000E+00  6.6078E+07  9.8431E-01 -1.6621E-01  5.9175E-02
  4.0000E-02 -1.0000E+00  7.2030E+07  9.8245E-01 -1.8084E-01  4.5734E-02
  5.3333E-02 -1.0000E+00  8.0437E+07  9.8069E-01 -1.9387E-01  2.5701E-02
  6.6667E-02 -1.0000E+00  9.1144E+07  9.7879E-01 -2.0486E-01  4.5760E-04
  8.0000E-02 -1.0000E+00  1.0374E+08  9.7655E-01 -2.1337E-01 -2.8672E-02
  9.3333E-02 -1.0000E+00  1.1745E+08  9.7385E-01 -2.1896E-01 -6.0655E-02
  1.0667E-01 -1.0000E+00  1.3096E+08  9.7063E-01 -2.2111E-01 -9.4830E-02
  1.2000E-01 -1.0000E+00  1.4246E+08  9.6688E-01 -2.1909E-01 -1.3089E-01
  1.3333E-01 -1.0000E+00  1.4972E+08  9.6264E-01 -2.1175E-01 -1.6878E-01
  1.4667E-01 -1.0000E+00  1.5042E+08  9.5792E-01 -1.9720E-01 -2.0858E-01
  1.6000E-01 -1.0000E+00  1.4270E+08  9.5273E-01 -1.7231E-01 -2.5023E-01
  1.7333E-01 -1.0000E+00  1.2587E+08  9.4701E-01 -1.3170E-01 -2.9295E-01
  1.8667E-01 -1.0000E+00  1.0116E+08  9.4051E-01 -6.5617E-02 -3.3338E-01
  2.0000E-01 -1.0000E+00  7.2072E+07  9.3221E-01  4.4045E-02 -3.5922E-01
  2.1333E-01 -1.0000E+00  4.4224E+07  9.1849E-01  2.2635E-01 -3.2427E-01
  2.2667E-01 -1.0000E+00  2.4137E+07  8.8711E-01  4.5644E-01 -6.8589E-02
