Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1347.34,132062000000000,4042.01,408814000000,6736.69,1365780000,9431.36,4623810,12126,15727.2
1343.63,139876000000000,4030.88,487545000000,6718.13,1833730000,9405.38,6989870,12092.6,26770.4
1339.82,147943000000000,4019.46,578003000000,6699.1,2437890000,9378.73,10422200,12058.4,44769
1335.92,156182000000000,4007.76,681424000000,6679.6,3211130000,9351.45,15339400,12023.3,73629.7
1331.93,164679000000000,3995.8,799112000000,6659.66,4192600000,9323.52,22300900,11987.4,119200
1327.85,173248000000000,3983.56,932443000000,6639.27,5428680000,9294.98,32046600,11950.7,190110
1323.69,181866000000000,3971.07,1082860000000,6618.45,6973900000,9265.83,45545800,11913.2,298936
1319.44,190733000000000,3958.32,1251880000000,6597.21,8891980000,9236.09,64056000,11875,463768
1315.11,199861000000000,3945.33,1441070000000,6575.54,11256900000,9205.76,89194400,11836,710325
1310.7,209015000000000,3932.09,1652070000000,6553.48,14154300000,9174.87,123023000,11796.3,1074760
1306.2,218172000000000,3918.61,1886580000000,6531.01,17682200000,9143.42,168149000,11755.8,1607320
1301.63,227578000000000,3904.9,2146350000000,6508.16,21952900000,9111.43,227846000,11714.7,2377190
1296.99,237245000000000,3890.96,2433190000000,6484.94,27094000000,9078.91,306190000,11672.9,3478610
1292.27,246892000000000,3876.81,2748950000000,6461.34,33249900000,9045.88,408221000,11630.4,5038750
1287.48,256495000000000,3862.44,3095530000000,6437.39,40583100000,9012.35,540130000,11587.3,7227710
1282.62,266348000000000,3847.86,3474870000000,6413.09,49275800000,8978.33,709473000,11543.6,10271000
1277.69,276466000000000,3833.07,3888950000000,6388.46,59531400000,8943.84,925407000,11499.2,14465100
1272.7,286341000000000,3818.1,4339760000000,6363.49,71576100000,8908.89,1198970000,11454.3,20196500
1267.64,296470000000000,3802.93,4829350000000,6338.21,85660000000,8873.5,1543380000,11408.8,27965400
1262.52,306868000000000,3787.57,5359760000000,6312.62,102059000000,8837.67,1974380000,11362.7,38414300
