Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.002,6250374617.05838,6250374617.05838,6258887620.421
0.0021,6253060994.88169,6253060994.88169,6261577657.08795
0.0022,6256025576.49076,6256025576.49076,6264546276.45392
0.0023,6263144512.53748,6263144512.53748,6271674908.48372
0.0024,6270191481.32067,6270191481.32067,6278731475.23066
0.0025,6278700384.88258,6278700384.88258,6287251967.90987
0.0026,6288512000.82028,6288512000.82028,6297076947.2577
0.0027,6307583638.88677,6307583638.88677,6316174560.87428
0.0028,6326938056.61873,6326938056.61873,6335555339.30193
0.0029,6271646891.7106,6271646891.7106,6280188867.88794
0.003,6283978781.66621,6283978781.66621,6292537553.86412
0.0031,6347373271.26688,6347373271.26688,6356018386.68999
0.0032,5955992622.73856,5955992622.73856,5964104678.14828
0.0033,6085859318.88109,6085859318.88109,6094148252.58831
0.0034,6135683094.45518,6135683094.45518,6144039888.09
0.0035,6130235314.15032,6130235314.15032,6138584687.91435
0.0036,6118324966.86914,6118324966.86914,6126658118.75326
0.0037,6085467693.44229,6085467693.44229,6093756093.75609
0.0038,6006142389.42995,6006142389.42995,6014322748.76682
0.0039,5940771301.07065,5940771301.07065,5948862625.05699
0.004,5881770030.06347,5881770030.06347,5889780994.3835
0.0041,5581158711.04603,5581158711.04603,5588760243.07977
0.0042,5468523314.58549,5468523314.58549,5475971437.33298
0.0043,5364048097.33938,5364048097.33938,5371353924.95574
0.0044,5266465637.05735,5266465637.05735,5273638557.47
0.0045,5015004507.68112,5015004507.68112,5021834938.31178
0.0046,4872684145.64433,4872684145.64433,4879320736.09823
0.0047,4743458096.67502,4743458096.67502,4749918681.39217
0.0048,4626293483.46064,4626293483.46064,4632594490.1033
0.0049,4523028632.51983,4523028632.51983,4529188992.54894
0.005,4389857283.09337,4389857283.09337,4395836263.89084
0.0051,4296076631.51623,4296076631.51623,4301927883.16928
0.0052,4211094571.08574,4211094571.08574,4216830077.26582
0.0053,4135847920.24909,4135847920.24909,4141480940.57339
0.0054,4044344322.43188,4044344322.43188,4049852714.95646
0.0055,3971505618.65024,3971505618.65024,3976914804.94028
0.0056,3904138321.61257,3904138321.61257,3909455753.71805
0.0057,3841430764.74866,3841430764.74866,3846662789.23057
0.0058,3783295359.00072,3783295359.00072,3788448203.12386
0.0059,3714079278.39333,3714079278.39333,3719137850.29072
0.006,3660145130.42125,3660145130.42125,3665130244.06835
0.0061,3611197047.11026,3611197047.11026,3616115493.52166
0.0062,3565662171.29929,3565662171.29929,3570518599.25985
0.0063,3507821904.51583,3507821904.51583,3512599554.09656
0.0064,3461714582.0219,3461714582.0219,3466429433.48005
0.0065,3418407363.74957,3418407363.74957,3423063230.824
0.0066,3377555196.83179,3377555196.83179,3382155423.29975
0.0067,3325243718.10525,3325243718.10525,3329772696.39665
0.0068,3283962477.69239,3283962477.69239,3288435230.97969
0.0069,3245076537.38982,3245076537.38982,3249496328.06915
0.007,3208386623.16277,3208386623.16277,3212756442.21922
0.0071,3173475247.04307,3173475247.04307,3177797516.8436
0.0072,3123085610.5878,3123085610.5878,3127339249.75882
0.0073,3086865025.16979,3086865025.16979,3091069331.94326
0.0074,3052645031.88962,3052645031.88962,3056802731.06983
0.0075,3020141092.41016,3020141092.41016,3024254521.26051
0.0076,2976513644.37209,2976513644.37209,2980567652.68613
0.0077,2942763829.24855,2942763829.24855,2946771870.35147
0.0078,2910742389.86473,2910742389.86473,2914706817.80238
0.0079,2880288645.02146,2880288645.02146,2884211594.99209
0.008,2851353649.72505,2851353649.72505,2855237190.26387
0.0081,2811630455.39372,2811630455.39372,2815459892.9855
0.0082,2782113472.76018,2782113472.76018,2785902708.25403
0.0083,2754433323.243,2754433323.243,2758184858.40362
0.0084,2728338126.49373,2728338126.49373,2732054120.02504
0.0085,2695250367.09741,2695250367.09741,2698921295.13676
0.0086,2669004514.45285,2669004514.45285,2672639695.66972
0.0087,2643965828.63852,2643965828.63852,2647566907.19282
0.0088,2620100700.66753,2620100700.66753,2623669274.94375
0.0089,2591331456.3572,2591331456.3572,2594860846.95428
0.009,2567662254.59915,2567662254.59915,2571159407.76943
0.0091,2545288975.91901,2545288975.91901,2548755656.7083
0.0092,2524273752.03922,2524273752.03922,2527711810.11667
0.0093,2506363423.39303,2506363423.39303,2509777087.62254
0.0094,2482852575.89863,2482852575.89863,2486234218.37968
0.0095,2468532420.42068,2468532420.42068,2471894558.8657
0.0096,2470479745.78463,2470479745.78463,2473844536.48465
0.0097,2476726381.55526,2476726381.55526,2480099680.16635
0.0098,2477198217.60061,2477198217.60061,2480572158.85187
0.0099,2481908719.94576,2481908719.94576,2485289076.89604
0.01,2493607305.27453,2493607305.27453,2497003595.68518
0.0101,2552330276.08524,2552330276.08524,2555806547.11762
0.0102,2622403681.36631,2622403681.36631,2625975392.29972
0.0103,2684374878.00733,2684374878.00733,2688030993.64248
0.0104,2751314091.58889,2751314091.58889,2755061378.35941
0.0105,2790482040.63207,2790482040.63207,2794282674.10616
0.0106,2734757644.35402,2734757644.35402,2738482381.26159
0.0107,2646391758.93691,2646391758.93691,2649996141.60562
0.0108,2566692938.15022,2566692938.15022,2570188771.11256
0.0109,2491145022.89872,2491145022.89872,2494537959.68348
0.011,2436277405.48115,2436277405.48115,2439595612.63125
0.0111,2432817959.04499,2432817959.04499,2436131454.43284
0.0112,2449137312.23951,2449137312.23951,2452473034.56849
0.0113,2465055794.07753,2465055794.07753,2468413197.36129
