Energy[keV],Photon_to_nAmp
0.00196,16540400000
0.00207,14437800000
0.00221,14686800000
0.00248,15922100000
0.0031,23693000000
0.00413,33318700000
0.00483,32027300000
0.00515,42702400000
0.00535,41732900000
0.0056,38793800000
0.00575,36970500000
0.00597,33588900000
0.00619,31299700000
0.00637,28992300000
0.00655,27962700000
0.00679,28105700000
0.00705,27542700000
0.00724,27542700000
0.00745,27681300000
0.00773,28542100000
0.008,29616800000
0.00832,29616800000
0.00863,29616800000
0.00879,29458100000
0.00904,27962700000
0.00991,25153300000
0.01019,24054900000
0.01049,23744200000
0.01074,23744200000
0.01204,16540400000
0.01343,12526900000
0.01393,12082700000
0.01472,12082700000
0.01536,12526900000
0.01614,12526900000
0.01644,11062800000
0.01675,10080900000
0.01738,9014130000
0.0177,8692180000
0.01808,8230250000
0.01837,7923990000
0.01871,7639770000
0.01937,7674180000
0.01977,7923990000
0.02051,8873270000
0.02128,9517650000
0.02233,9014130000
0.02287,8873270000
0.02377,6982220000
0.02466,6733870000
0.02601,5915510000
0.02699,5408450000
0.02754,5209990000
0.02965,5408450000
0.03133,5116110000
0.03311,4425110000
0.03499,3687590000
0.03698,3184420000
0.03944,2752290000
0.04189,2212550000
0.04218,2203960000
0.04247,2192620000
0.04276,2186990000
0.04306,2173040000
0.04336,2156540000
0.04367,2137600000
0.04398,2113730000
0.04429,2092950000
0.04461,2057570000
0.04492,2037880000
0.04525,2023350000
0.04559,1983310000
0.04593,1953740000
0.04627,1920710000
0.04662,1884580000
0.04734,1843790000
0.0477,1829930000
0.04806,1804730000
0.04844,1793330000
0.04883,1765460000
0.04921,1743770000
0.04961,1729610000
0.05,1712230000
0.06,1364020000
0.07,979115000
0.08,721584000
0.09,572659000
0.1,502260000
0.11,399171000
0.12,333725000
0.13,301267000
0.14,274652000
0.15,252432000
0.16,238776000
0.17,227398000
0.18,218055000
0.19,210096000
0.2,202793000
0.21,196184000
0.22,188855000
0.23,181782000
0.24,175292000
0.25,169300000
0.26,163767000
0.27,158643000
0.28,153622000
0.29,148403000
0.3,143539000
0.31,138984000
0.32,134688000
0.33,130649000
0.34,126846000
0.35,123257000
0.36,119875000
0.37,116681000
0.38,113653000
0.39,110793000
0.4,107752000
0.41,104551000
0.42,101536000
0.43,98694300
0.44,96013500
0.45,93474500
0.46,91027400
0.47,88695700
0.48,86489500
0.49,84398200
0.5,82414400
0.51,80532200
0.52,78760600
0.53,77011900
0.54,75296700
0.55,73668600
0.56,72131300
0.57,70685400
0.58,69469000
0.59,68365300
0.6,67306500
0.61,66290600
0.62,65314700
0.63,64376600
0.64,63420400
0.65,62346100
0.66,61324900
0.67,60349300
0.68,59419100
0.69,58531200
0.7,57679100
0.71,56889300
0.72,56159900
0.73,55459700
0.74,54787300
0.75,54141300
0.76,53520600
0.77,52922100
0.78,52325300
0.79,51718600
0.8,51136500
0.81,50579400
0.82,50046000
0.83,49533900
0.84,49043200
0.85,48572000
0.86,48122000
0.87,47689700
0.88,47275500
0.89,46878600
0.9,46497400
0.91,46132300
0.92,45781500
0.93,45445700
0.94,45123100
0.95,44813300
0.96,44517100
0.97,44232700
0.98,43959900
0.99,43699400
1,43449700
1.01,43210500
1.02,42967500
1.03,42732700
1.04,42506500
1.05,42287200
1.06,42077300
1.07,41875500
1.08,41683000
1.09,41497000
1.1,41319900
1.11,41150400
1.12,32642800
1.13,32374900
1.14,32114900
1.15,31198000
1.16,30931300
1.17,30671300
1.18,30418300
1.19,30170500
1.2,29929300
1.21,29693500
1.22,29463900
1.23,29239400
1.24,29020800
1.25,28807300
1.26,28599400
1.27,28396300
1.28,28197900
1.29,28004700
1.3,27815900
1.31,27274300
1.32,27106000
1.33,26422000
1.34,26229200
1.35,26040400
1.36,25703300
1.37,25525400
1.38,25351800
1.39,25182400
1.4,25017100
1.41,24855400
1.42,24697600
1.43,24543600
1.44,24393500
1.45,24247000
1.46,24103900
1.47,23964200
1.48,23828100
1.49,23691000
1.5,23547500
1.51,23406500
1.52,23268400
1.53,22988600
1.54,22860600
1.55,22735200
1.56,22612700
1.57,22492700
1.58,22375400
1.59,22260800
1.6,22148500
1.61,22038500
1.62,21931000
1.63,21825900
1.64,21723200
1.65,21622600
1.66,21524200
1.67,21428100
1.68,21334200
1.69,21242200
1.7,21152500
1.71,21064600
1.72,20978800
1.73,20894600
1.74,20812700
1.75,20723100
1.76,20635500
1.77,20549100
1.78,20464700
1.79,20381700
1.8,20300600
1.81,20220600
1.82,20142400
1.83,20065500
1.84,19990200
1.85,19916400
1.86,19844000
1.87,19772800
1.88,19703100
1.89,19634700
1.9,19567500
1.91,19501700
1.92,19437100
1.93,19373700
1.94,19311500
1.95,19250600
1.96,19191000
1.97,19132400
1.98,19075000
1.99,19018600
2,18963300
2.01,18909600
2.02,18856900
2.03,18805300
2.04,18754800
2.05,18706000
2.06,18658600
2.07,18612400
2.08,18566700
2.09,18522300
2.1,18478700
2.11,18436100
2.12,18394500
2.13,18353500
2.14,18313600
